Temperature ( K ),density ( kg/m 3 ),Uncertainty,Phase,Quality,Source,Set Label,,,,,,,,,,,,,,
298.15,784.83,0.61,Liquid-Gas,Experimental,NIST,Authors: Blanco, S. T.;Embid, J. M.;Otin, S. Title: Excess volumes of (2,2,4-trimethylpentane + methanol or ethanol or propan-2-ol or di-1-methylethyl ether or 1,1-dimethylethyl methyl ether) and of (methanol or ethanol or propan-2-ol + di-1-methylethyl ether or 1,1-dimethylethyl methyl ether) at the temperature 298.15 K Citation: J. Chem. Thermodyn.,1994,26, 23-28,,,,
298.15,785.339,0.129,Liquid-Gas,Experimental,NIST,Authors: Cao, Q.;Lu, X.;Wu, X.;Guo, Y.;Xu, L.;Fang, W. Title: Density, Viscosity, and Conductivity of Binary Mixtures of the Ionic Liquid N-(2-Hydroxyethyl)piperazinium Propionate with Water, Methanol, or Ethanol Citation: J. Chem. Eng. Data,2015,60, 455-463,
298.15,785.06,0.6,Liquid-Gas,Experimental,NIST,Authors: Chen, S.;Lei, Q.;Fang, W. Title: Viscosities and densities for binary mixtures of N-methylpiperazine with methanol, ethanol, n-propanol, iso-propanol, n-butanol and iso-butanol at 293.15, 298.15 and 303.15K Citation: Fluid Phase Equilib.,2005,234, 22-33,,,
298.15,785.4,0.16,Liquid-Gas,Experimental,NIST,Authors: Conti, G.;Gianni, P.;Lepori, L.;Matteoli, E. Title: Excess enthalpies and excess heat capacities of the ternary system ethanol + N,N-dimethyl-formamide + cyclohexane at 298.15 K Citation: Fluid Phase Equilib.,1995,105, 93-107,,,,,,
298.15,785.17,1.39,Liquid-Gas,Experimental,NIST,Authors: Domanska, U.;Laskowska, M. Title: Temperature and Composition Dependence of the Density and Viscosity of Binary Mixtures of {1-Butyl-3-methylimidazolium Thiocyanate + 1-Alcohols} Citation: J. Chem. Eng. Data,2009,54, 2113-2119,,,,,,,,,
298.15,784.94,0.23,Liquid-Gas,Experimental,NIST,Authors: Falcon, J.;Ortega, J.;Gonzalez, E. Title: Densities and Vapor-Liquid Equilibria in Binary Mixtures Formed by Propyl Methanoate + Ethanol, +Propan-1-ol, and +Butan-1-ol at 160.0 kPa Citation: J. Chem. Eng. Data,1996,41, 859-864,,,,,,
298.15,785.07,1.01,Liquid-Gas,Experimental,NIST,Authors: Florido, P. M.;Andrade, I. M. G.;Capellini, M. C.;Carvalho, F. H.;Aracava, K. K.;Koshima, C. C.;Rodrigues, C. E. C.;Goncalves, C. B. Title: Viscosities and densities of systems involved in the deterpenation of essential oils by liquid-liquid extraction: New UNIFAC-VISCO parameters Citation: J. Chem. Thermodyn.,2014,72, 152-160,,,
298.15,784.94,0.43,Liquid-Gas,Experimental,NIST,Authors: Galvan, S.;Ortega, J.;Susial, P.;Pena, J. A. Title: Isobaric vapor-liquid equilibria for propyl methanoate + (n-alkanes, C7, C8 , C9) or n-alkanols (C2, C3, C4) Citation: J. Chem. Eng. Jpn.,1994,27, 529-34,,
298.15,785.08,0.24,Liquid-Gas,Experimental,NIST,Authors: Herraez, J. V.;Belda, R. Title: Refractive Indices, Densities and Excess Molar Volumes of Monoalcohols + Water Citation: J. Solution Chem.,2006,35, 1315-1328,,,,,,,,
298.15,785.7,0.9,Liquid-Gas,Experimental,NIST,Authors: Hou, C.;Jiang, Z.;Ren, B. Title: Density and Viscosity of Clopidogrel Hydrogen Sulfate + Methanol and Clopidogrel Hydrogen Sulfate + Ethanol from (278.15 to 313.15) K Citation: J. Chem. Eng. Data,2010,55, 4943-4945,,,,,,,,
298.15,785.3,0.7,Liquid-Gas,Experimental,NIST,Authors: Kim, K. -J.;Lee, C.-H.;Ryu, S.-K. Title: Solubility of Thiourea in C1 to C6 1-Alcohols Citation: J. Chem. Eng. Data,1994,39, 228-230,,,,,,,,
298.15,785.1,0.6,Liquid-Gas,Experimental,NIST,Authors: Kodama, D.;Shinobu, Y.;Miyakoshi, Y.;Kato, M. Title: Vapor-Liquid Equilibria for Ethanol + Limonene and 1-Propanol + Limonene Citation: Netsu Bussei,2003,17, 266-269,,,,,,,
298.15,785.6,0.3,Liquid-Gas,Experimental,NIST,Authors: Letcher, T. M.;Naicker, P. K. Title: Excess molar enthalpies and excess molar volumes of (an alkanol + a nitrile compound) at T = 298.15 K and p = 0.1 MPa Citation: J. Chem. Thermodyn.,2001,33, 1035-1047,,,,,,,,,
298.15,784.96,0.04,Liquid-Gas,Experimental,NIST,Authors: Liu, D.;Li, H.;Deng, D.;Han, S.-J. Title: Excess molar volume and apparent molar volume of binary mixtures of 2-methyl-3-buten-2-ol with 1-alcohol at 298.15K Citation: Chin. J. Chem. Eng.,2002,10, 5;454,,,,,,,
298.15,785.25,0.47,Liquid-Gas,Experimental,NIST,Authors: Lu, X.;Wu, D.;Ye, D.;Wang, Y.;Guo, Y.;Fang, W. Title: Densities and Viscosities of Binary Mixtures of 2-Ethyl-1,1,3,3- tetramethylguanidinium Ionic Liquids with Ethanol and 1-Propanol Citation: J. Chem. Eng. Data,2015,60, 2618-2628,,
298.15,785.05,0.16,Liquid-Gas,Experimental,NIST,Authors: Mejia, A.;Segura, H.;Cartes, M. Title: Vapor Liquid Equilibria and Interfacial Tensions of the System Ethanol + 2-Methoxy-2-methylbutane Citation: J. Chem. Eng. Data,2011,56, 3142-3148,,,,,,,,
298.15,785.91,3.67,Liquid-Gas,Experimental,NIST,Authors: Mutalik, V.;Manjeshwar, L. S.;Sairam, M.;Aminabhavi, T. M. Title: Thermodynamic interactions in binary mixtures of anisole with ethanol, propan-1-ol, propan-2-ol, butan-1-ol, pentan-1-ol, and 3-methylbutan-1-ol at T = (298.15,303.15, and 308.15) K Citation: J. Chem. Thermodyn.,2006,38, 1620-1628
298.15,785.12,0.92,Liquid-Gas,Experimental,NIST,Authors: Neyband, R. S.;Yousefi, A.;Zarei, H. Title: Experimental and Computational Thermodynamic Properties  of (Benzyl alcohol + Alkanols) Mixtures Citation: J. Chem. Eng. Data,2015,60, 2291-2300,,,,,,,,
