Temperature ( K ),density ( kg/m 3 ),Uncertainty,Phase,Quality,Source,Set Label,,,,,,,,,,,,,,,,,,,,,
298.136,826.9,0.295,Liquid-Gas,Experimental - Rejected,NIST,Authors: Kuss, E. Title: High Pressure Measurements III. The Viscosity and Compressibility of Fluids Citation: Z. Angew. Phys.,1955,7, 372-378,,,,,,,,,,,,,,,,,
298.14437,826.23,0.44,Liquid-Gas,Experimental,NIST,Authors: Diaz Pena, M.,Tardajos, G. Title: Isothermal Compressibilities of n-1-Alcohols from Methanol to 1-Dodecanol at 298.15,308.15,318.15, and 333.15 K Citation: J. Chem. Thermodyn.,1979,11,441,,,,,,,,,,,,
298.14437,826.4,0.1,Liquid-Gas,Experimental,NIST,Authors: Jelinek, R. M.,Leopold, H. Title: Precision measurement of the density of some organic liquids according to the oscillator method Citation: Monatsh. Chem.,1978,109,387,,,,,,,,,,,,,,,
298.14437,826.56,0.44,Liquid-Gas,Experimental,NIST,Authors: Kiyohara, O.,Benson, G. C. Title: Excess volumes of some 1-decanol-cycloalkane systems at 298.15 K. Citation: J. Chem. Eng. Data,1981,26, 263-6,,,,,,,,,,,,,,,
298.14437,826.57,5.02,Liquid-Gas,Experimental,NIST,Authors: Kumaran, M. K.,Benson, G. C. Title: Excess volumes of (decan-1-ol + 2,2,3-trimethylbutane) Citation: J. Chem. Thermodyn.,1985,17,699,,,,,,,,,,,,,
298.14437,826.8,1.1,Liquid-Gas,Experimental,NIST,Authors: Matsuo, S.,Makita, T. Title: Volumetric properties of 1-alkanols at temperatures in the range 298-348 K and pressures up to 40 MPa Citation: Int. J. Thermophys.,1989,10, 885-897,,,,,,,,,,,,,,,
298.14437,826.53,0.5,Liquid-Gas,Experimental,NIST,Authors: Ortega, J.,Paz Andrade, M. I.,Rodriguez-Nunez, E.,Romani, L. Title: Excess Molar Volumes of Butyl Acetate + an n-Alkanol at 298.15 K Citation: Aust. J. Chem.,1985,38,1435,,,,,,,,,,,
298.14437,826.3,0.2,Liquid-Gas,Experimental,NIST,Authors: Ortega, J. Title: Densities and Refractive Indices of Pure Alcohols as a Function of Temperature Citation: J. Chem. Eng. Data,1982,27, 312-7,,,,,,,,,,,,,,,,,
298.14437,826.87,5.01,Liquid-Gas,Experimental,NIST,Authors: Pflug, H. D.,Pope, A. E.,Benson, G. C. Title: Heats of Mixing of Normal ALcohols at 25 deg C Citation: J. Chem. Eng. Data,1968,13, 408-10,,,,,,,,,,,,,
298.14437,826.87,0.21,Liquid-Gas,Experimental,NIST,Authors: Singh, J.,Benson, G. C. Title: Measurement of the vapor pressure of methanol-n-decanol and ethanol-n-decanol mixtures Citation: Can. J. Chem.,1968,46, 1249-1254,,,,,,,,,,,,,,,
