Temperature ( K ),density ( kg/m 3 ),Uncertainty,Phase,Quality,Source,Set Label,,,,,,,,,,,,,,,
229.1844,583.7,0.438,Liquid-Gas,Experimental,NIST,Authors: Seemann, F.-W.;Urban, M. Title: The density of liquid propane Citation: Erdoel, Kohle, Erdgas, Petrochem.,1963,16, 117-9,,,,,,,
232.01600002,580.7,0,Liquid-Gas,Experimental,NIST,Authors: Carney, B. R. Title: Density of Liquified Petroleum Gas Hydrocarbons, Their Mixtures and Three Natural Gasolines Citation: Hydrocarbon Process.,1942,21,84,,,,,,,,,,
233.08206,577.676683575,19.9326452465,Liquid-Gas,Experimental,NIST,Authors: Huang, E. T. S.;Swift, G. W.;Kurata, F. Title: Viscosities of methane and propane at low temperatures and high pressures Citation: AIChE J.,1966,12, 932-936 (Derived),,,,,,,,,
233.12643336,579.4,0,Liquid-Gas,Experimental,NIST,Authors: Legatski, T.W.;Nelson, W.R.;Dean, M.R.;Fruit, L.R. Title: Densities of Liquefied Petroleum Gases, Citation: Ind. Eng. Chem.,1942,34, 1240-1243,,,,,,,
233.95917776,578.4,0.17,Liquid-Gas,Experimental,NIST,Authors: Legatski, T.W.;Nelson, W.R.;Dean, M.R.;Fruit, L.R. Title: Densities of Liquefied Petroleum Gases, Citation: Ind. Eng. Chem.,1942,34, 1240-1243,,,,,,,
235.6144393,575.42,0.536,Liquid-Gas,Experimental,NIST,Authors: Orrit, J. E.;Laupretre, J. M. Title: Density of liquefied natural gas components. Citation: Adv. Cryog. Eng.,1977,23,573,,,,,,,,,,
236.51263336,575.4,0,Liquid-Gas,Experimental,NIST,Authors: Carney, B. R. Title: Density of Liquified Petroleum Gas Hydrocarbons, Their Mixtures and Three Natural Gasolines Citation: Hydrocarbon Process.,1942,21,84,,,,,,,,,,
240,570.28,0.27,Liquid-Gas,Experimental,NIST,Authors: Kayukawa, Y.;Hasumoto, M.;Kano, Y.;Watanabe, K. Title: Liquid-Phase Thermodynamic Properties for Propane (1), n-Butane (2), and Isobutane (3) Citation: J. Chem. Eng. Data,2005,50, 556-564,,,,,,
240.007,570.364361107,0.719674463662,Liquid-Gas,Experimental,NIST,Authors: Haynes, W. M. Title: Measurements of densities and dielectric constants of liquid propane from 9 0 to 300 k at pressures to 35 mpa. Citation: J. Chem. Thermodyn.,1983,15, 419-424 (Derived),,,,,,,,,,,
240.95357776,570.1,0,Liquid-Gas,Experimental,NIST,Authors: Carney, B. R. Title: Density of Liquified Petroleum Gas Hydrocarbons, Their Mixtures and Three Natural Gasolines Citation: Hydrocarbon Process.,1942,21,84,,,,,,,,,,
