Temperature ( K ),density ( kg/m 3 ),Uncertainty,Phase,Quality,Source,Set Label,,,,,,,,,,,,,,,,
298.15,862.2,0.5,Liquid-Gas,Experimental,NIST,Authors: Kuus, M.;Kirss, H.;Siimer, E.;Kudryavtseva, L. Title: Excess molar enthalpies of the ternary system toluene + p-xylene + 1,2-dichloroethane at 298.15 K Citation: Thermochim. Acta,2003,398, 101-105,,,,,,,,
298.15,862.16,0.14,Liquid-Gas,Experimental,NIST,Authors: Lopez, E. R.;Lugo, L.;Comunas, M. J. P.;Garcia, J.;Fernandez, J. Title: Temperature Dependence of the Excess Molar Volume of (Dimethyl Carbonate, or Diethyl Carbonate + Toluene) from T = 278.15 K to 323.15 K Citation: J. Chem. Thermodyn.,2000,32, 743-754,,,,,,,
298.15,862.19,0.31,Liquid-Gas,Experimental,NIST,Authors: Marongiu, B.;Pusceddu, E.;Porcedda, S.;Lepori, L.;Matteoli, E. Title: Thermodynamic study of 1,1,2,2-tetrachloroethane + hydrocarbon mixtures I. Excess and solvation enthalpies Citation: Fluid Phase Equilib.,2006,250, 105-115,,,,,
298.15,862.1,0.9,Liquid-Gas,Experimental,NIST,Authors: Moumouzias, G.;Ritzoulis, G. Title: Viscosities and densities for propylene carbonate + toluene at 15,20,25,30, and 35.degree.C Citation: J. Chem. Eng. Data,1992,37, 482-483,,,,,,,
298.15,862.55,0.24,Liquid-Gas,Experimental,NIST,Authors: Nung, W.-C.;Vong, W.-T.;Tsai, F. N. Title: Excess Volumes of Tetralin + Toluene, + Ethylbenzene, and + Propylbenzene at 298.15 and 308.15 K Citation: J. Chem. Eng. Data,1995,40, 598-600,,,,,,,,
298.15,862.211,0.343,Liquid-Gas,Experimental,NIST,Authors: Ohomuro, K.;Tamura, K.;Murakami, S. Title: Excess volumes and isentropic compressibilities of the binary mixtures of cyclohexanone with globular species at T=298.15 K Citation: J. Chem. Thermodyn.,1997,29, 287-294,,,,,,,,,,
298.15,862.27,0.23,Liquid-Gas,Experimental,NIST,Authors: Rehak, K.;Dreiseitlova, J. Title: Binary liquid liquid equilibrium in the systems containing monofunctional benzene derivates and 1,2-ethanediol Citation: Fluid Phase Equilib.,2006,249, 104-108,,,,,,,,,,
298.15,862.08,0.23,Liquid-Gas,Experimental,NIST,Authors: Resa, J. M.;Gonzalez, C.;Ortiz de Landaluce, S.;Lanz, J. Title: Densities, excess molar volumes, and refractive indices of ethyl acetate and aromatic hydrocarbon binary mixtures Citation: J. Chem. Thermodyn.,2002,34, 995-1004,,,,,,,
298.15,862.2,0.3,Liquid-Gas,Experimental,NIST,Authors: Sastry, N. V.;Patel, S. R.;Patel, M. Title: Excess volumes, relative permittivity increasments, and excess molar polariztions of {xCH2CCH3CO2CH3 + (1- x)(C6H6, or C7H8, or o-C8H10, or m-C8H10, or p-C8H10, or C8H10, or c-C6H12)} Citation: J. Chem. Thermodyn.,1999,31, 797-810,,
298.15,862.21,0.51,Liquid-Gas,Experimental,NIST,Authors: Sharma, V. K.;Singh, P. P.;Maken, S. Title: Molar excess volumes of binary and ternary mixtures containing chloroaniline Citation: J. Chem. Eng. Data,1994,39, 238-240,,,,,,,,,,
298.15,862.22,0.31,Liquid-Gas,Experimental,NIST,Authors: Siwach, R. K.;Dimple;Sharma, V. K. Title: Isentropic Compressibilities Changes of Mixing of Tetrahydropyran and Aromatic Hydrocarbons  Ternary Mixtures at 308.15 K Citation: Int. J. Thermophys.,2011,32, 1188-1201,,,,,,,,,,,
298.15,862.5,0.8,Liquid-Gas,Experimental,NIST,Authors: Swain, N.;Singh, S. K.;Panda, D.;Chakravortty, V. Title: Viscosities, densities and excess properties of binary mixtures of di-(2-ethyl hexyl) phosphoric acid (DEHPA) with benzene, toluene and ortho-xylene Citation: J. Mol. Liq.,2001,94, 233-248,,,,,,,
298.15,862.01,2.04,Liquid-Gas,Experimental,NIST,Authors: Yang, C.;Lai, H.;Liu, Z.;Ma, P. Title: Densities and Viscosities of Diethyl Carbonate + Toluene, + Methanol, and + 2-Propanol from (293.15 to 363.15) K Citation: J. Chem. Eng. Data,2006,51, 584-589,,,,,,,
