Temperature ( K ),density ( kg/m 3 ),Uncertainty,Phase,Quality,Source,Set Label,,,,,,,,,,
297.52469396,717.566745,0,Liquid-Gas,Experimental,NIST,Authors: Levelt Sengers, J. M. H.;Chen, W. T. Title: Vapor Pressure, Critical Isochore, and Some Metastable States of CO2 dioxide Citation: J. Chem. Phys.,1972,56, 595-608,,,
297.5264936,717.566745,0,Liquid-Gas,Experimental,NIST,Authors: Levelt Sengers, J. M. H.;Chen, W. T. Title: Vapor Pressure, Critical Isochore, and Some Metastable States of CO2 dioxide Citation: J. Chem. Phys.,1972,56, 595-608,,,
297.5384912,717.566745,0,Liquid-Gas,Experimental,NIST,Authors: Levelt Sengers, J. M. H.;Chen, W. T. Title: Vapor Pressure, Critical Isochore, and Some Metastable States of CO2 dioxide Citation: J. Chem. Phys.,1972,56, 595-608,,,
297.5384912,717.566745,0,Liquid-Gas,Experimental,NIST,Authors: Levelt Sengers, J. M. H.;Chen, W. T. Title: Vapor Pressure, Critical Isochore, and Some Metastable States of CO2 dioxide Citation: J. Chem. Phys.,1972,56, 595-608,,,
297.54728944,717.566745,0,Liquid-Gas,Experimental,NIST,Authors: Levelt Sengers, J. M. H.;Chen, W. T. Title: Vapor Pressure, Critical Isochore, and Some Metastable States of CO2 dioxide Citation: J. Chem. Phys.,1972,56, 595-608,,,
297.56428604,717.566745,0,Liquid-Gas,Experimental,NIST,Authors: Levelt Sengers, J. M. H.;Chen, W. T. Title: Vapor Pressure, Critical Isochore, and Some Metastable States of CO2 dioxide Citation: J. Chem. Phys.,1972,56, 595-608,,,
297.56428604,717.566745,0,Liquid-Gas,Experimental,NIST,Authors: Levelt Sengers, J. M. H.;Chen, W. T. Title: Vapor Pressure, Critical Isochore, and Some Metastable States of CO2 dioxide Citation: J. Chem. Phys.,1972,56, 595-608,,,
297.57738342,717.566745,0,Liquid-Gas,Experimental,NIST,Authors: Levelt Sengers, J. M. H.;Chen, W. T. Title: Vapor Pressure, Critical Isochore, and Some Metastable States of CO2 dioxide Citation: J. Chem. Phys.,1972,56, 595-608,,,
297.57738342,717.566745,0,Liquid-Gas,Experimental,NIST,Authors: Levelt Sengers, J. M. H.;Chen, W. T. Title: Vapor Pressure, Critical Isochore, and Some Metastable States of CO2 dioxide Citation: J. Chem. Phys.,1972,56, 595-608,,,
297.58062224,721.626173407,0,Liquid-Gas,Experimental,NIST,Authors: Kendall, B. J.;Sage, B. H. Title: The volumetric behavior of carbon dioxide Citation: Petroleum (London),1951,14, 184-6,,,,,
297.58208248,717.566745,0,Liquid-Gas,Experimental,NIST,Authors: Levelt Sengers, J. M. H.;Chen, W. T. Title: Vapor Pressure, Critical Isochore, and Some Metastable States of CO2 dioxide Citation: J. Chem. Phys.,1972,56, 595-608,,,
297.58288232,717.566745,0,Liquid-Gas,Experimental,NIST,Authors: Levelt Sengers, J. M. H.;Chen, W. T. Title: Vapor Pressure, Critical Isochore, and Some Metastable States of CO2 dioxide Citation: J. Chem. Phys.,1972,56, 595-608,,,
297.58978094,717.566745,0,Liquid-Gas,Experimental,NIST,Authors: Levelt Sengers, J. M. H.;Chen, W. T. Title: Vapor Pressure, Critical Isochore, and Some Metastable States of CO2 dioxide Citation: J. Chem. Phys.,1972,56, 595-608,,,
297.60437802,717.566745,0,Liquid-Gas,Experimental,NIST,Authors: Levelt Sengers, J. M. H.;Chen, W. T. Title: Vapor Pressure, Critical Isochore, and Some Metastable States of CO2 dioxide Citation: J. Chem. Phys.,1972,56, 595-608,,,
298.14437,717.603803287,82.9548157745,Liquid-Gas,Experimental,NIST,Authors: Popov, V. N.;Sayapov, M. Kh. Title: Density of carbon dioxide in the liquid phase Citation: Teploenergetika,1970,17, 76 (Derived),,,,,
298.14437,717.603803287,13.4956177509,Liquid-Gas,Experimental,NIST,Authors: Popov, V. N.;Sayapov, M. Kh. Title: The density of liquid carbon dioxide Citation: Teploenergetika,1970, , 76 (Derived),,,,,
298.14437,712.048063371,2.15657115097,Liquid-Gas,Experimental,NIST,Authors: Vukalovich, M. P.;Kobelev, V. P.;Timoshenko, N. I. Title: Density of carbon dioxide at 0 - 35 c and up to 300 bars Citation: Teploenergetika,1968,15, 81-83 (Derived),,,,
298.14437,711.6,0,Liquid-Gas,Experimental,NIST,Authors: Vukalovich, M. P.;Timoshenko, N. I.;Kobelev, V. P. Title: Experimental study of carbon dioxide density at temperatures below 0 c Citation: Teploenergetika,1970,17, 59-60,,,,
298.1889788,718.463079072,25.2425358025,Liquid-Gas,Experimental,NIST,Authors: Michels, A.;Michels, C.;Wouters, H. Title: Isotherms of Carbon DIoxide Between 70 and 3000 Atmospheres (Amagat Densities Between 200 and 600) Citation: Proc. R. Soc. London, Ser. A,1935,153, 214-24 (Derived),,,
298.205972,711.229449,0,Liquid-Gas,Experimental,NIST,Authors: Michels, A.;Blaisse, B.;Michels, C. Title: The Isotherms of Carbon Dioxide in the Neighborhood of the Critical Point and Around the Coexistence Line Citation: Proc. R. Soc. London, Ser. A,1937,160, 358-375,,,
298.205972,711.273458,0,Liquid-Gas,Experimental,NIST,Authors: Michels, A.;Blaisse, B.;Michels, C. Title: The Isotherms of Carbon Dioxide in the Neighborhood of the Critical Point and Around the Coexistence Line Citation: Proc. R. Soc. London, Ser. A,1937,160, 358-375,,,
298.205972,711.62553,0,Liquid-Gas,Experimental,NIST,Authors: Michels, A.;Blaisse, B.;Michels, C. Title: The Isotherms of Carbon Dioxide in the Neighborhood of the Critical Point and Around the Coexistence Line Citation: Proc. R. Soc. London, Ser. A,1937,160, 358-375,,,
298.205972,712.461701,0,Liquid-Gas,Experimental,NIST,Authors: Michels, A.;Blaisse, B.;Michels, C. Title: The Isotherms of Carbon Dioxide in the Neighborhood of the Critical Point and Around the Coexistence Line Citation: Proc. R. Soc. London, Ser. A,1937,160, 358-375,,,
298.4338808,707.092603,0,Liquid-Gas,Experimental,NIST,Authors: Michels, A.;Blaisse, B.;Michels, C. Title: The Isotherms of Carbon Dioxide in the Neighborhood of the Critical Point and Around the Coexistence Line Citation: Proc. R. Soc. London, Ser. A,1937,160, 358-375,,,
298.4338808,707.312648,0,Liquid-Gas,Experimental,NIST,Authors: Michels, A.;Blaisse, B.;Michels, C. Title: The Isotherms of Carbon Dioxide in the Neighborhood of the Critical Point and Around the Coexistence Line Citation: Proc. R. Soc. London, Ser. A,1937,160, 358-375,,,
298.475308222,707.858729354,0,Liquid-Gas,Experimental,NIST,Authors: Kendall, B. J.;Sage, B. H. Title: The volumetric behavior of carbon dioxide Citation: Petroleum (London),1951,14, 184-6,,,,,
298.69137776,704.252173134,0,Liquid-Gas,Experimental,NIST,Authors: Kendall, B. J.;Sage, B. H. Title: The volumetric behavior of carbon dioxide Citation: Petroleum (London),1951,14, 184-6,,,,,
299,697.037,1.585,Liquid-Gas,Experimental,NIST,Authors: Duschek, W.;Kleinrahm, R.;Wagner, W. Title: Measurement and correlation of the (pressure, density, temperature) relation of carbon dioxide. II. Saturated-liquid and saturated-vapo densities and the vapor pressure along the entire coexistence c Citation: J. Chem. Thermodyn.,1990,22, 841-64,,
299.103926248,693.05511811,0,Liquid-Gas,Experimental,NIST,Authors: Bierlein, J. A.;Kay, W. B. Title: Phase Equilibrium Properties of System Carbon Dioxide-Hydrogen Sulfide sulfide Citation: Ind. Eng. Chem.,1953,45,618,,,,,
299.641508556,687.092024961,0,Liquid-Gas,Experimental,NIST,Authors: Kendall, B. J.;Sage, B. H. Title: The volumetric behavior of carbon dioxide Citation: Petroleum (London),1951,14, 184-6,,,,,
299.80203332,683.096962858,0,Liquid-Gas,Experimental,NIST,Authors: Kendall, B. J.;Sage, B. H. Title: The volumetric behavior of carbon dioxide Citation: Petroleum (London),1951,14, 184-6,,,,,
299.994,678,2.77,Liquid-Gas,Experimental,NIST,Authors: Rabe, D. Title: Experimental determination of dynamic viscosity and density of binary liquid mixtures of n-heptane with CO2, CH4, C2H6, C3H8 and of toluene with CH4 and C3H8 Citation: Dr.Eng. Thesis, Technical University Berlin, Berlin (1981),,,,
300,679.308,1.914,Liquid-Gas,Experimental,NIST,Authors: Duschek, W.;Kleinrahm, R.;Wagner, W. Title: Measurement and correlation of the (pressure, density, temperature) relation of carbon dioxide. II. Saturated-liquid and saturated-vapo densities and the vapor pressure along the entire coexistence c Citation: J. Chem. Thermodyn.,1990,22, 841-64,,
300,679.322,1.914,Liquid-Gas,Experimental,NIST,Authors: Duschek, W.;Kleinrahm, R.;Wagner, W. Title: Measurement and correlation of the (pressure, density, temperature) relation of carbon dioxide. II. Saturated-liquid and saturated-vapo densities and the vapor pressure along the entire coexistence c Citation: J. Chem. Thermodyn.,1990,22, 841-64,,
300,679.346,1.914,Liquid-Gas,Experimental,NIST,Authors: Duschek, W.;Kleinrahm, R.;Wagner, W. Title: Measurement and correlation of the (pressure, density, temperature) relation of carbon dioxide. II. Saturated-liquid and saturated-vapo densities and the vapor pressure along the entire coexistence c Citation: J. Chem. Thermodyn.,1990,22, 841-64,,
300,712.154993255,70.3211115471,Liquid-Gas,Experimental,NIST,Authors: Falco, N.;Kiran, E. Title: Volumetric properties of ethyl acetate + carbon dioxide binary fluid mixtures at  high pressures Citation: J. Supercrit. Fluids,2012,61, 9-24 (Derived),,,,,
300,691.460583277,273.082681201,Liquid-Gas,Experimental,NIST,Authors: Gilgen, R.;Kleinrahm, R.;Wagner, W. Title: Supplementary measurements of the (pressure, density, temperature) relation of carbon dioxide in the homogeneous region at temperatures from 2 20 K to 360 K and pressures up to 13 MPa Citation: J. Chem. Thermodyn.,1992,24, 1243-50 (Derived),,
300,690.737110721,46.9008926819,Liquid-Gas,Experimental,NIST,Authors: Klimeck, J. Title: Continued development of a one-sinker densimeter for accurate measurement of the thermal properties of carbon dioxide, argon, nitrogen and methane Citation: Ph.D. Thesis, Bochum University, Germany (1997) (Derived),,,,,
300.66829765,664.183828,0,Liquid-Gas,Experimental,NIST,Authors: Levelt Sengers, J. M. H.;Chen, W. T. Title: Vapor Pressure, Critical Isochore, and Some Metastable States of CO2 dioxide Citation: J. Chem. Phys.,1972,56, 595-608,,,
300.67599534,664.183828,0,Liquid-Gas,Experimental,NIST,Authors: Levelt Sengers, J. M. H.;Chen, W. T. Title: Vapor Pressure, Critical Isochore, and Some Metastable States of CO2 dioxide Citation: J. Chem. Phys.,1972,56, 595-608,,,
300.68849159,664.183828,0,Liquid-Gas,Experimental,NIST,Authors: Levelt Sengers, J. M. H.;Chen, W. T. Title: Vapor Pressure, Critical Isochore, and Some Metastable States of CO2 dioxide Citation: J. Chem. Phys.,1972,56, 595-608,,,
300.69958826,664.183828,0,Liquid-Gas,Experimental,NIST,Authors: Levelt Sengers, J. M. H.;Chen, W. T. Title: Vapor Pressure, Critical Isochore, and Some Metastable States of CO2 dioxide Citation: J. Chem. Phys.,1972,56, 595-608,,,
300.807153111,663.17665975,0,Liquid-Gas,Experimental,NIST,Authors: Kendall, B. J.;Sage, B. H. Title: The volumetric behavior of carbon dioxide Citation: Petroleum (London),1951,14, 184-6,,,,,
300.91268888,661.310148133,0,Liquid-Gas,Experimental,NIST,Authors: Kendall, B. J.;Sage, B. H. Title: The volumetric behavior of carbon dioxide Citation: Petroleum (London),1951,14, 184-6,,,,,
301,658.814,2.273,Liquid-Gas,Experimental,NIST,Authors: Duschek, W.;Kleinrahm, R.;Wagner, W. Title: Measurement and correlation of the (pressure, density, temperature) relation of carbon dioxide. II. Saturated-liquid and saturated-vapo densities and the vapor pressure along the entire coexistence c Citation: J. Chem. Thermodyn.,1990,22, 841-64,,
301.1867792,655.690091,0,Liquid-Gas,Experimental,NIST,Authors: Michels, A.;Blaisse, B.;Michels, C. Title: The Isotherms of Carbon Dioxide in the Neighborhood of the Critical Point and Around the Coexistence Line Citation: Proc. R. Soc. London, Ser. A,1937,160, 358-375,,,
301.19364,654.082058233,3.30996521041,Liquid-Gas,Experimental,NIST,Authors: Vukalovich, M. P.;Kobelev, V. P.;Timoshenko, N. I. Title: Density of carbon dioxide at 0 - 35 c and up to 300 bars Citation: Teploenergetika,1968,15, 81-83 (Derived),,,,
301.96776668,633.384329534,0,Liquid-Gas,Experimental,NIST,Authors: Kendall, B. J.;Sage, B. H. Title: The volumetric behavior of carbon dioxide Citation: Petroleum (London),1951,14, 184-6,,,,,
302,633.899,2.652,Liquid-Gas,Experimental,NIST,Authors: Duschek, W.;Kleinrahm, R.;Wagner, W. Title: Measurement and correlation of the (pressure, density, temperature) relation of carbon dioxide. II. Saturated-liquid and saturated-vapo densities and the vapor pressure along the entire coexistence c Citation: J. Chem. Thermodyn.,1990,22, 841-64,,
302.004,633.86,2.651,Liquid-Gas,Experimental,NIST,Authors: Duschek, W.;Kleinrahm, R.;Wagner, W. Title: Measurement and correlation of the (pressure, density, temperature) relation of carbon dioxide. II. Saturated-liquid and saturated-vapo densities and the vapor pressure along the entire coexistence c Citation: J. Chem. Thermodyn.,1990,22, 841-64,,
302.006673111,634.524024078,0,Liquid-Gas,Experimental,NIST,Authors: Kendall, B. J.;Sage, B. H. Title: The volumetric behavior of carbon dioxide Citation: Petroleum (London),1951,14, 184-6,,,,,
302.143355,634.759013169,2.66076957221,Liquid-Gas,Experimental,NIST,Authors: Vukalovich, M. P.;Kobelev, V. P.;Timoshenko, N. I. Title: Density of carbon dioxide at 0 - 35 c and up to 300 bars Citation: Teploenergetika,1968,15, 81-83 (Derived),,,,
302.331752457,624.241134752,0,Liquid-Gas,Experimental,NIST,Authors: Bierlein, J. A.;Kay, W. B. Title: Phase Equilibrium Properties of System Carbon Dioxide-Hydrogen Sulfide sulfide Citation: Ind. Eng. Chem.,1953,45,618,,,,,
302.5,618.658,3.389,Liquid-Gas,Experimental,NIST,Authors: Duschek, W.;Kleinrahm, R.;Wagner, W. Title: Measurement and correlation of the (pressure, density, temperature) relation of carbon dioxide. II. Saturated-liquid and saturated-vapo densities and the vapor pressure along the entire coexistence c Citation: J. Chem. Thermodyn.,1990,22, 841-64,,
302.653202,613.48546,0,Liquid-Gas,Experimental,NIST,Authors: Esper, G. J. Title: Direct and Indirect p-v-t Measurement of Fluids Citation: Fortschr.-Ber. VDI Z., Reihe,1987, No. 148,,,,,,
303,600.123,4.144,Liquid-Gas,Experimental,NIST,Authors: Duschek, W.;Kleinrahm, R.;Wagner, W. Title: Measurement and correlation of the (pressure, density, temperature) relation of carbon dioxide. II. Saturated-liquid and saturated-vapo densities and the vapor pressure along the entire coexistence c Citation: J. Chem. Thermodyn.,1990,22, 841-64,,
303.0630284,595.00168,0,Liquid-Gas,Experimental,NIST,Authors: Michels, A.;Blaisse, B.;Michels, C. Title: The Isotherms of Carbon Dioxide in the Neighborhood of the Critical Point and Around the Coexistence Line Citation: Proc. R. Soc. London, Ser. A,1937,160, 358-375,,,
303.07842224,594.398132891,0,Liquid-Gas,Experimental,NIST,Authors: Kendall, B. J.;Sage, B. H. Title: The volumetric behavior of carbon dioxide Citation: Petroleum (London),1951,14, 184-6,,,,,
303.134,590.199468297,56.7722846725,Liquid-Gas,Experimental,NIST,Authors: Kennedy, G. C. Title: Pressure-volume-temperature relations in carbon dioxide at elevated temperatures and pressures Citation: Am. J. Sci.,1954,252, 225-241 (Derived),,,,,,
303.143055,630.447252377,160.192007808,Liquid-Gas,Experimental,NIST,Authors: Kirillin, V. A.;Ulybin, S. A.;Zherdev, E. N. Title: Carbon dioxide density in the -50 to +2000 range at up to 500 bars Citation: Teploenergetika,1970, , 136-141 (Derived),,,,
303.143055,630.447252377,160.192007808,Liquid-Gas,Experimental,NIST,Authors: Kirillin, V. A.;Ulybin, S. A.;Zherdev, E. P. Title: Carbon dioxide density on the 35,30, 20 and 10 isotherms and at pressures up to 500 bars Citation: Teploenergetika,1969,16, 92-3 (Derived),,
303.173428222,593.897600605,0,Liquid-Gas,Experimental,NIST,Authors: Kendall, B. J.;Sage, B. H. Title: The volumetric behavior of carbon dioxide Citation: Petroleum (London),1951,14, 184-6,,,,,
303.4,581.2,5.08,Liquid-Gas,Experimental,NIST,Authors: Duschek, W.;Kleinrahm, R.;Wagner, W. Title: Measurement and correlation of the (pressure, density, temperature) relation of carbon dioxide. II. Saturated-liquid and saturated-vapo densities and the vapor pressure along the entire coexistence c Citation: J. Chem. Thermodyn.,1990,22, 841-64,,
303.4,581.22,5.079,Liquid-Gas,Experimental,NIST,Authors: Duschek, W.;Kleinrahm, R.;Wagner, W. Title: Measurement and correlation of the (pressure, density, temperature) relation of carbon dioxide. II. Saturated-liquid and saturated-vapo densities and the vapor pressure along the entire coexistence c Citation: J. Chem. Thermodyn.,1990,22, 841-64,,
303.5428364,573.833351,0,Liquid-Gas,Experimental,NIST,Authors: Michels, A.;Blaisse, B.;Michels, C. Title: The Isotherms of Carbon Dioxide in the Neighborhood of the Critical Point and Around the Coexistence Line Citation: Proc. R. Soc. London, Ser. A,1937,160, 358-375,,,
303.6,569.3,7.487,Liquid-Gas,Experimental,NIST,Authors: Duschek, W.;Kleinrahm, R.;Wagner, W. Title: Measurement and correlation of the (pressure, density, temperature) relation of carbon dioxide. II. Saturated-liquid and saturated-vapo densities and the vapor pressure along the entire coexistence c Citation: J. Chem. Thermodyn.,1990,22, 841-64,,
303.8,554.14,12.633,Liquid-Gas,Experimental,NIST,Authors: Duschek, W.;Kleinrahm, R.;Wagner, W. Title: Measurement and correlation of the (pressure, density, temperature) relation of carbon dioxide. II. Saturated-liquid and saturated-vapo densities and the vapor pressure along the entire coexistence c Citation: J. Chem. Thermodyn.,1990,22, 841-64,,
303.9,544.15,12.065,Liquid-Gas,Experimental,NIST,Authors: Duschek, W.;Kleinrahm, R.;Wagner, W. Title: Measurement and correlation of the (pressure, density, temperature) relation of carbon dioxide. II. Saturated-liquid and saturated-vapo densities and the vapor pressure along the entire coexistence c Citation: J. Chem. Thermodyn.,1990,22, 841-64,,
303.999610359,533.97527988,0.37803731,Liquid-Gas,Experimental,NIST,Authors: Martynets, V. G.;Matizen, E. V. Title: Determination of the parameters of Migdal's equation of state Citation: Zh. Eksp. Teor. Fiz.,1974,67, 607-214,,,,,
304,530.92,15.013,Liquid-Gas,Experimental,NIST,Authors: Duschek, W.;Kleinrahm, R.;Wagner, W. Title: Measurement and correlation of the (pressure, density, temperature) relation of carbon dioxide. II. Saturated-liquid and saturated-vapo densities and the vapor pressure along the entire coexistence c Citation: J. Chem. Thermodyn.,1990,22, 841-64,,
304,599.256486193,261.626241803,Liquid-Gas,Experimental,NIST,Authors: Gokmenoglu, Z.;Xiong, Y.;Kiran, E. Title: Volumetric properties of carbon dioxide + sulfur hexafluoride at high pressures Citation: J. Chem. Eng. Data,1996,41, 354-360 (Derived),,,,
304.02050361,529.08,0.115,Liquid-Gas,Experimental,NIST,Authors: Nowak, P.;Tielkes, T.;Kleinrahm, R.;Wagner, W. Title: Supplementary measurements of the (p, rho, T) relation of carbon dioxide in the homogenous region at T=313 K and on the coexistence curve at T=304 K Citation: J. Chem. Thermodyn.,1997,29, 885-889,
304.02050361,529.08,1.603,Liquid-Gas,Experimental,NIST,Authors: Nowak, P.;Tielkes, T.;Kleinrahm, R.;Wagner, W. Title: Supplementary measurements of the (p, rho, T) relation of carbon dioxide in the homogenous region at T=313 K and on the coexistence curve at T=304 K Citation: J. Chem. Thermodyn.,1997,29, 885-889,
304.02050361,531.775,1.538,Liquid-Gas,Experimental,NIST,Authors: Nowak, P.;Tielkes, T.;Kleinrahm, R.;Wagner, W. Title: Supplementary measurements of the (p, rho, T) relation of carbon dioxide in the homogenous region at T=313 K and on the coexistence curve at T=304 K Citation: J. Chem. Thermodyn.,1997,29, 885-889,
304.085587217,517.89967236,0.4664954,Liquid-Gas,Experimental,NIST,Authors: Martynets, V. G.;Matizen, E. V. Title: Determination of the parameters of Migdal's equation of state Citation: Zh. Eksp. Teor. Fiz.,1974,67, 607-214,,,,,
304.1,507.4,15.58,Liquid-Gas,Experimental,NIST,Authors: Duschek, W.;Kleinrahm, R.;Wagner, W. Title: Measurement and correlation of the (pressure, density, temperature) relation of carbon dioxide. II. Saturated-liquid and saturated-vapo densities and the vapor pressure along the entire coexistence c Citation: J. Chem. Thermodyn.,1990,22, 841-64,,
304.130527831,502.76189663,0.88150027,Liquid-Gas,Experimental,NIST,Authors: Martynets, V. G.;Matizen, E. V. Title: Determination of the parameters of Migdal's equation of state Citation: Zh. Eksp. Teor. Fiz.,1974,67, 607-214,,,,,
304.149144744,488.4866973,5.99578616,Liquid-Gas,Experimental,NIST,Authors: Martynets, V. G.;Matizen, E. V. Title: Determination of the parameters of Migdal's equation of state Citation: Zh. Eksp. Teor. Fiz.,1974,67, 607-214,,,,,
304.153592,480.769230769,0,Liquid-Gas,Experimental,NIST,Authors: Wentorf, R. H. Title: Isotherms in the Critical Region of Carbon Dioxide and Sulfur Hexafluoride Citation: J. Chem. Phys.,1956,24,607,,,,,,
304.153648844,474.99661853,5.99578616,Liquid-Gas,Experimental,NIST,Authors: Martynets, V. G.;Matizen, E. V. Title: Determination of the parameters of Migdal's equation of state Citation: Zh. Eksp. Teor. Fiz.,1974,67, 607-214,,,,,
304.154849938,465.21141649,0,Liquid-Gas,Experimental,NIST,Authors: Bierlein, J. A.;Kay, W. B. Title: Phase Equilibrium Properties of System Carbon Dioxide-Hydrogen Sulfide sulfide Citation: Ind. Eng. Chem.,1953,45,618,,,,,
304.154849938,463.4,8,Liquid-Gas,Experimental,NIST,Authors: Diefenbacher, A.;Crone, M.;Turk, M. (see tuerk m) Title: Critical propeties of CO2, CHF3, SF6, (CO2 + CHF3), and (CHF3 + SF6) Citation: J. Chem. Thermodyn.,1998,30, 481-496
304.154849938,473,8,Liquid-Gas,Experimental,NIST,Authors: Li, J.;Qin, Z.;Wang, G.;Dong, M.;Wang, J. Title: Critical Temperatures and Pressures of Several Binary and Ternary Mixtures Concerning the Alkylation of 2-Methylpropane with 1-Butene in the Presence of Methane or Carbon Dioxide Citation: J. Chem. Eng. Data,2007,52, 1736-1740,,
304.154849938,468.3,1.5,Liquid-Gas,Experimental,NIST,Authors: Lowry, H. H.;Erickson, W. R. Title: The Densities of Coexisting Liquid and Gaseous Carbon Dioxide and the Solubility of Water in Liquid Carbon Dioxide. Citation: J. Am. Chem. Soc.,1927,49, 2729-2734,,,,,
304.154849938,467.8,5,Liquid-Gas,Experimental,NIST,Authors: Moldover, M. R. Title: Visual observation at the critical temperature and density: co(2) and c(2) h(4) Citation: J. Chem. Phys.,1974,61, 1766-78,,,,,,
304.154849938,467.6,3.6,Liquid-Gas,Experimental,NIST,Authors: Nowak, P.;Tielkes, T.;Kleinrahm, R.;Wagner, W. Title: Supplementary measurements of the (p, rho, T) relation of carbon dioxide in the homogenous region at T=313 K and on the coexistence curve at T=304 K Citation: J. Chem. Thermodyn.,1997,29, 885-889,
304.154849938,468,14,Liquid-Gas,Experimental,NIST,Authors: Suehiro, Y.;Nakajima, M.;Yamada, K.;Uematsu, M. Title: Critical parameters of {xCO2 + (1 - x)CHF3} for x = (1.0000,0.7496,0.5013, and 0.2522) Citation: J. Chem. Thermodyn.,1996,28, 1153-1164
304.154849938,467,5,Liquid-Gas,Experimental,NIST,Authors: Tsekhanskava, Yu. V.;Roginskaya, N. G.;Mushkina, E. V. Title: Volume changes in naphthalene solutions in compressed carbon dioxide Citation: Russ. J. Phys. Chem.,1966,40, 1152-6,,,,
304.154849938,473,9,Liquid-Gas,Experimental,NIST,Authors: Zhang, R.;Qin, Z.;Wang, G.;Dong, M.;Hou, X.;Wang, J. Title: Critical Properties of the Reacting Mixture in the Selective Oxidation of Cyclohexane by Oxygen in the Presence of Carbon Dioxide Citation: J. Chem. Eng. Data,2005,50, 1414-1418,
