T,eta,phase,,,,,,,,,,,,,,,,,
298.15,0.004216,liquid,Authors: Aminabhavi, T. M.;Patil, V. B. Title: Density, Viscosity, and Speed of Sound in Binary Mixtures of 1-Chloronaphthalene with Methanol, Ethanol, Propan-1-ol, Butan-1-ol, Pentan-1-ol, and Hexan-1-ol in the Temperature Range (298.15-308.15) K Citation: J. Chem. Eng. Data,1998,43, 504-508,,,,
298.15,0.004342,liquid,Authors: Aminabhavi, T. M.;Raikar, S. K. Title: A study on mixing properties of binary mixtures of bromoform with aliphatic alcohols Citation: J. Chem. Eng. Data,1993,38, 310-319,,,,,,,,,,,
298.15,0.004394,liquid,Authors: Aralaguppi, M. I.;Jadar, C. V.;Aminabhavi, T. M. Title: Density, Viscosity, Refractive Index, and Speed of Sound in Binary Mixtures of Acrylonitrile with Methanol, Ethanol, Propan-1-ol, Butan-1-ol, Pentan-1-ol, Hexan-1-ol, Heptan-1-ol, and Butan-2-ol Citation: J. Chem. Eng. Data,1999,44, 216-221
298.15,0.0044862,liquid,Authors: Aucejo, A.;Burguet, M. C.;Munoz, R.;Sancho-Tello, M. Title: Densities, Viscosities, and Refractive Indices of Some Binary Liquid Systems of Methanol + Isomers of Hexanol at 298.15 K Citation: J. Chem. Eng. Data,1996,41, 508-510,,,,,,,
298.15,0.0044862,liquid,Authors: Aucejo, A.;Burguet, M. C.;Munoz, R. Title: Densities, Viscosities, and Refractive Indices of Some Binary Liquid Systems of Ethanol + Isomers of Hexanol at 298.15 K Citation: J. Chem. Eng. Data,1996,41, 1131-1134,,,,,,,,
298.15,0.004538,liquid,Authors: Bajic, D.;Zivkovic, E.;Serbanovic, S.;Kijevcanin, M. Title: Volumetric and Viscometric Study of Binary Systems of Ethyl Butyrate with Alcohols Citation: J. Chem. Eng. Data,2014,59, 3677-3690,,,,,,,,,
298.15,0.00456,liquid,Authors: Cano-Gomez, J. J.;Iglesias-Silva, G. A.;Castrejon-Gonzalez, E. O.;Ramos-Estrada, M.;Hall, K. R. Title: Density and Viscosity of Binary Liquid Mixtures of Ethanol + 1-Hexanol and Ethanol + 1-Heptanol from (293.15 to 328.15) K at 0.1 MPa Citation: J. Chem. Eng. Data,2015,60, 1945-1955,,,,,,,,
298.15,0.004558,liquid,Authors: Casad, H.;Segade, Luisa;Cabeza, Oscar;Franjo, C.;Jimenez Cuesta, E. Title: Densities, Viscosities, and Refractive Indexes for Propyl Propanoate + 1-Hexanol + Benzene at 298.15 K Citation: J. Chem. Eng. Data,2001,46, 651-656,,,,,,
298.15,0.0046426,liquid,Authors: Doghaeei, A.;Rostami, A.;Omrani, A. Title: Densities, Viscosities, and Volumetric Properties of Binary Mixtures of 1,2-Propanediol + 1-Heptanol or 1-Hexanol and 1,2-Ethanediol + 2-Butanol or 2-Propanol at T = (298.15,303.15, and 308.15) K Citation: J. Chem. Eng. Data,2010,55, 2894-2899,,,,
298.15,0.00448,liquid,Authors: Domanska, U.;Zawadzki, M.;Lewandrowska, A. Title: Effect of temperature and composition on the density, viscosity, surface tension, and thermodynamic properties of binary mixtures of N-octylisoquinolinium bis{(trifluoromethyl)sulfonyl}imide with alcohols Citation: J. Chem. Thermodyn.,2012,48, 101-111,,,,,,,
298.15,0.004623,liquid,Authors: Dubey, G. P.;Kaur, P. Title: Thermodynamic, transport and excess properties of 2-butoxy ethanol +1-alkanol (C6,C8,C10) at different temperatures Citation: J. Chem. Thermodyn.,2013,64, 239-248,,,,,,,,
298.15,0.004439,liquid,Authors: Dubey, G. P.;Kumar, K. Title: Studies of thermodynamic, thermophysical and partial molar properties of liquid  mixtures of diethylenetriamine with alcohols at 293.15 to 313.15 K Citation: J. Mol. Liq.,2013,180, 164-171,,,,,,,,,,
298.15,0.004439,liquid,Authors: Dubey, G. P.;Kumar, K. Title: Studies of thermophysical properties of binary liquid mixtures of amine and alcohols at various temperatures Citation: J. Chem. Thermodyn.,2012,50, 7-14,,,,,,,,,,,
298.15,0.0044395,liquid,Authors: Dubey, G. P.;Kumar, K. Title: Volumetric and Viscometric Properties of Binary Liquid Mixtures of Ethylene Glycol Monomethyl Ether + 1-Hexanol, 1-Octanol, and 1-Decanol at Temperatures of T = (293.15,298.15,303.15, and 308.15) K Citation: J. Chem. Eng. Data,2010,55, 1700-1703,,,,,,
