Temperature ( K ),vapor pressure ( kPa ),Set Label,,,,,,,,,,,
445.642,101.325,Authors: Thaker, K. A.;Vasi, I. G. Title: Synthesis of Optically Active Higher Aliphatic Tertiary Alcohols from 2-Methyl-1-butanol Citation: J. Sci. Ind. Res., Sect. B,1960,19, 322-3,,,,,
445.84208,101.325,Authors: Timmermans, J.;Mattaar, J. F. Title: Freezing points of orgainic substances VI. New experimental determinations. Citation: Bull. Soc. Chim. Belg.,1921,30,213,,,,,,
445.99214,100.3518,Authors: Bruhl, J. W. Title: The Chemical Constitution of Organic Compounds in Relation to their Density and their Ability to Propagate Light Citation: Justus Liebigs Ann. Chem.,1880,203,1,,,,,,,
445.99214,101.325,Authors: Lecat, M. Citation: Tables Azeotropiques,1949, 10th ed., Vol. 1, : Brussels, Belgium,,,,,
446.04216,101.325,Authors: Lecat, M. Title: Azeotropes of Ethyl Urethane and other Azeotropes Citation: C. R. Hebd. Seances Acad. Sci.,1943,217,273,,,,,,,
446.062168,101.325,Authors: Louguinine, W. Title: Study of Latent Heats of Vaporizaion of Some Liquids Citation: Ann. Chim. Phys.,1898,13, 289-377,,,,,,,
446.1422,100.6584,Authors: Ceuterick, P. Citation: Bull. Soc. Chim. Belg.,1936,45,545,,,,,,,
446.1422,101.325,Authors: Lecat, M. Title: Orthobaric Azeotropes of Sulfides Citation: Bull. Cl. Sci. Acad. R. Belg.,1947,33, 160-82,,,,,,,
446.1422,101.325,Authors: Shenton, T.;Smith, J. C. Citation: Chem. Ind. (London),1958, ,1510,,,,,,
446.1422,100.3917,Authors: Von Reis, M. A. Title: IV. The Specific Heat of Liquid Organic Compounds and its Relation to Molecular Weight. Citation: Ann. Phys. (Leipzig),1881,13,447,,,,,,,
446.291367,101.32,Authors: Aarna, A.;Kaps, T. Title: Vapor-liquid isobaric equilibrium in phenol + oxygen compound binary mixtures Citation: Eesti NSV Tead. Akad. Toim., Keem., Geol.,1974,23,16,,,,
446.34228,101.325,Authors: Cook, N. C. Citation: Unpublished, Final Rep. Stand. Proj. on Oxygenated Compounds, ,1952, Penn. State Univ., College Park, PA,,,,
446.3923,101.325,Authors: Michael, A. Citation: J. Am. Chem. Soc.,1919,41,393,,,,,,,
446.44232,101.325,Authors: Ceuterick, P. Citation: Bull. Soc. Chim. Belg.,1936,45,545,,,,,,,
446.6424,101.325,Authors: Deffet, L. Title: The Freezing Points of Organic Compounds XIII. Compounds With Seven Eight, Nine or Ten Carbon Atoms Citation: Bull. Soc. Chim. Belg.,1931,40, 385-402,,,,,,
446.6424,101.325,Authors: Hurd, C. D.;McPhee, W. D. Citation: J. Am. Chem. Soc.,1947,69,239,,,,,,
446.94252,102.6582,Authors: Verhulst, G.;Glorieux, C. Title: Ethylenic Nitriles. alpha-Methyl-alpha-octenonitriles and alpha-Hexylacrylonitrile. Citation: Bull. Soc. Chim. Belg.,1932,41,501,,,,,,
447.04256,101.325,Authors: Kohlraush, K. W. F.;Koppl, F. Citation: Z. Phys. Chem. Abt. B,1934,24,370,,,,,,
447.1426,101.325,Authors: Carswell, H. E.;Adkins, H. Title: The Relation of the Structure of Ketones to their Reactivity and Affinity in Acetal Formation Citation: J. Am. Chem. Soc.,1928,50,235,,,,,,
447.24264,101.325,Authors: Lecat, M. Title: New binary azeotropes second list Citation: Recl. Trav. Chim. Pays-Bas,1926,45, 620-627,,,,,,,
447.24264,101.325,Authors: Lecat, M. Title: New binary azeotropes: 5th list Citation: Recl. Trav. Chim. Pays-Bas,1927,46, 240-7,,,,,,,
447.6428,102.3916,Authors: Gulewitsch;Wasmus Citation: Chem. Ber.,1906,39,1181,,,,,,,,
451.86,117.571,Authors: Guetachew, T.;Mokbel, I.;Meille, J. -P.;Jose, J. Title: Vapor pressures and sublimation pressures of naphthalene and of five alkan- 2-ones (C4, C5, C7, C8, C9) at pressures in the range from 0.3 Pa to 160 kPa Citation: ELDATA: The International Electronic Journal of Physico-Chemical Data,1995,1, 249-54
451.86,117.544,Authors: Guetachew, T.;Mokbel, I.;Meille, J. -P.;Jose, J. Title: Vapor pressures and sublimation pressures of naphthalene and of five alkan- 2-ones (C4, C5, C7, C8, C9) at pressures in the range from 0.3 Pa to 160 kPa Citation: ELDATA: The International Electronic Journal of Physico-Chemical Data,1995,1, 249-54
461.84,149.909,Authors: Guetachew, T.;Mokbel, I.;Meille, J. -P.;Jose, J. Title: Vapor pressures and sublimation pressures of naphthalene and of five alkan- 2-ones (C4, C5, C7, C8, C9) at pressures in the range from 0.3 Pa to 160 kPa Citation: ELDATA: The International Electronic Journal of Physico-Chemical Data,1995,1, 249-54
