Temperature ( K ),vapor pressure ( kPa ),Uncertainty,Phase,Quality,Source,Set Label,,,,,,,,,,,,,,
363.15,54.22,0.39,Liquid-Gas,Experimental,NIST,Authors: Grenner, A.;Klauck, M.;Schmelzer, J. Title: An equipment for dynamic measurements of vapour liquid equilibria and results in binary systems containing cyclohexylamine Citation: Fluid Phase Equilib.,2005,233, 170-175,,,,,,,,
363.353023,54.675637,0.504092,Liquid-Gas,Experimental,NIST,Authors: Naccari, A.;Pagliani, S. Title: On the Maximum Pressure of Vapors of some liquids and the thermic dilatatio n of these Citation: Atti accad. sci. Torino, Classe sci. fis., mat. nat.,1881,16,407,,,,,,,
363.95,55.744,1.12,Liquid-Gas,Experimental,NIST,Authors: Mokbel, I.;Rauzy, E.;Meille, J. P.;Jose, J. Title: Low vapor pressures of 12 aromatic hydrocarbons. Experimental and calculated data using a group contribution method Citation: Fluid Phase Equilib.,1998,147, 271-284,,,,,,,
368.9,65.25,0.2,Liquid-Gas,Experimental,NIST,Authors: Martinez-Soria, V.;Pena, M. P.;Monton, J. B. Title: Vapor-Liquid Equilibria for the Binary Systems tert-Butyl Alcohol + Toluene, + Isooctane, and + Methylcyclohexane at 101.3 kPa Citation: J. Chem. Eng. Data,1999,44, 148-151,,,,,,
369.59,66.66,0.35,Liquid-Gas,Experimental,NIST,Authors: Uno, S.;Kikkawa, S.;Matsuda, H.;Kurihara, K.;Tochigi, K.;Ochi, K. Title: Measurement of Vapor-Liquid Equilibria for Binary Systems Using a Hold-Up Compensable Ebulliometer Citation: J. Chem. Eng. Jpn.,2007,40, 288-294,,,,,
370.2,67.89,0.63,Liquid-Gas,Experimental,NIST,Authors: Reich, R.;Cartes, M.;Wisniak, J.;Segura, H. Title: Phase Equilibria in the System Methyl 1,1-Dimethylethyl Ether + Benzene + Toluene Citation: J. Chem. Eng. Data,1998,43, 299-303,,,,,,
373.073995,76.1271,15.2521,Liquid-Gas,Experimental,NIST,Authors: Schmidt, G. C. Title: Binary mixtures Citation: Z. Phys. Chem., Stoechiom. Verwandschaftsl.,1926,121, 221-53,,,,,,,,,
375.62387,79.993,0,Liquid-Gas,Experimental,NIST,Authors: Rivenq, F. Title: Ebulliometry of the binary system tetrahydrofuran + toluene Citation: Bull. Soc. Chim. Fr.,1975, , 2433-4,,,,,,,,,,
375.62387,79.993,0.9333,Liquid-Gas,Experimental,NIST,Authors: Rivenq, F. Title: Ebullioscopy of ethyl acetate + toluene mixtures Citation: Bull. Soc. Chim. Fr.,1970, , 3833-4,,,,,,,,,,
376.65,82.48,1.01,Liquid-Gas,Experimental,NIST,Authors: Hidouche, M.;Dahmani, O. Title: Isobaric vapor liquid equilibria for binary systems of butyl chlorides with heptane, toluene and cyclohexane at 101.3, 80.0 and 53.3 kPa Citation: Fluid Phase Equilib.,2006,243,01/08/26,,,,,,,
378.345044,86.97978,0.762471,Liquid-Gas,Experimental,NIST,Authors: Naccari, A.;Pagliani, S. Title: On the Maximum Pressure of Vapors of some liquids and the thermic dilatatio n of these Citation: Atti accad. sci. Torino, Classe sci. fis., mat. nat.,1881,16,407,,,,,,,
380.4729,93.33,4.47,Liquid-Gas,Experimental,NIST,Authors: Pavlova, P. S.;Popov, D. M.;Olevskii, V. M. Title: Vapor-liquid equilibrium in systems consisting of the oxidation products of toluene Citation: Trudy GIAP,1972,15,89,,,,,,,,
381.85,96,1.1,Liquid-Gas,Experimental,NIST,Authors: Reddy, K. V. N. S.;Prasad, D. H. L.;Krishnaiah, A. Title: Isobaric vapour liquid equilibria for the binary systems of fuel oxygenates with aromatic hydrocarbons Citation: Phys. Chem. Liq.,2005,43, 543-549,,,,,,,,
383.126,98.9249,4.946245,Liquid-Gas,Experimental,NIST,Authors: Brown, H. C.;Jungk, H. Citation: J. Am. Chem. Soc.,1955,77,5579,,,,,,,,,
383.126,101.7247,7.6293525,Liquid-Gas,Experimental,NIST,Authors: Vogel, A. I. Title: Physical properties and chemical constitution. Part X. n-alkylbenzenes Citation: J. Chem. Soc.,1948, ,607,,,,,,,,,,
383.22601,99.49,5.98,Liquid-Gas,Experimental,NIST,Authors: Neubeck, F. Title: Molecular Volumes of Aromatic Compounds Citation: Z. Phys. Chem., Stoechiom. Verwandschaftsl.,1887,1, 649-666,,,,,,,,,
383.32233,101.325,10.1325,Liquid-Gas,Experimental,NIST,Authors: Rao, K. P. C.;Reddy, K. S. (see subram k);Ramakrishna, M. Title: Excess volumes and excess enthalpies of cyclohexanone with alkanes, benzene, toluene and tetrachloromethane at 298.15 K Citation: Fluid Phase Equilib.,1988,41,303,,,,,,
383.476035,100.7914,1.007914,Liquid-Gas,Experimental,NIST,Authors: Richards, T. W.;Shipley, J. W. Title: The Compressibility of Certain Typical Hydrocarbons, Alcohols and Ketones Citation: J. Am. Chem. Soc.,1916,38, 989-99,,,,,,,,
383.52,101.325,0.709275,Liquid-Gas,Experimental,NIST,Authors: Zhang, Q.;Xu, G.;Tian, Y. Title: Study on the Isobaric Vapor-Liquid Equil ibrium of Morpholine-Toluene Binary System Citation: Tianranqi Huagong,2006,31, 3;76,,,,,,,,
