Temperature ( K ),vapor pressure ( kPa ),Uncertainty,Phase,Quality,Source,Set Label,,,,,,,,,,,,,,
270.037988254,3206.3,6.7,Liquid-Gas,Experimental,NIST,Authors: Holste, J. C.;Hall, K. R.;Eubank, P. T.;Esper, G.;Watson, M. Q.;Warowny, W.;Bailey, D. M.;Young, J. G.;Bellomy, M. T. Title: Experimental (p, Vm, T) for Pure CO2 Between 220 and 450 K Citation: J. Chem. Thermodyn.,1987,19, 1233-50
273.100015873,3485.49,0,Liquid-Gas,Experimental,NIST,Authors: Levelt Sengers, J. M. H.;Chen, W. T. Title: Vapor Pressure, Critical Isochore, and Some Metastable States of CO2 dioxide Citation: J. Chem. Phys.,1972,56, 595-608,,,,,,,
273.10004,3495.6,0,Liquid-Gas,Experimental,NIST,Authors: Akers, W. W.;Kelley, R. E.;Lipscomb, T. G. Title: Carbon Dioxide - Propane System Citation: Ind. Eng. Chem.,1954,46,2535,,,,,,,,
273.10004,3485.047,350.2392,Liquid-Gas,Experimental,NIST,Authors: Meyers, C.H.;Van Dusen, M.S. Title: The Vapor Pressure of Liquid and Solid Carbon Dioxide, Citation: Refrig. Eng.,1932,13,180,1926, Bureau of Standards Journal of Research, Volume 10, pp. 381-412,,,,
273.1470024,3484.2734,350.172267,Liquid-Gas,Experimental,NIST,Authors: Meyers, C.H.;Van Dusen, M.S. Title: The Vapor Pressure of Liquid and Solid Carbon Dioxide, Citation: Refrig. Eng.,1932,13,180,1926, Bureau of Standards Journal of Research, Volume 10, pp. 381-412,,,,
273.14980016,3647.7,405.3,Liquid-Gas,Experimental,NIST,Authors: Davy, H. Title: On the Application of Liquids Formed by the Condensation of Gases as Mechanical Agents Citation: Philos. Trans. R. Soc. London,1823,113, 199-205,,,,,,,,,,
273.14980016,3647.7,506.63,Liquid-Gas,Experimental,NIST,Authors: Faraday, M. Title: On the Condensation of Several Gases Into Liquids Citation: Philos. Trans. R. Soc. London,1823,113, 160-189,,,,,,,,,,
273.15,3485.66,0.19998,Liquid-Gas,Experimental,NIST,Authors: Bridgeman, O. C. Title: A Fixed Point for the Calibration of Pressure Gages. The Vapor Pressure of Liquid Carbon Dioxide at 0 deg. Citation: J. Am. Chem. Soc.,1927,49,1174,,,,,,,,,,
273.15,3484.7,2.1,Liquid-Gas,Experimental,NIST,Authors: Yurttas, L.;Holste, J. C.;Hall, K. R.;Gammon, B. E.;Marsh, K. N. Title: Semiautomatic Isochoric Apparatus for p-V-T and Phase Equilibrium Studies Citation: J. Chem. Eng. Data,1994,39, 418-423,,,,,,
273.5531,3522.07,6.61,Liquid-Gas,Experimental,NIST,Authors: Saleh, B.;Wendland, M. Title: Measurement of Vapor Pressures and Saturated Liquid Densities of Pure Fluids with a New Apparatus Citation: J. Chem. Eng. Data,2005,50, 429-437,,,,,,,,,
274.1853784,3581.332,0.8411799,Liquid-Gas,Experimental,NIST,Authors: Michels, A.;Wassenaar, T.;Zwietering, Th. N.;Smits Title: The vapor pressure of liquid carbon dioxide Citation: Physica (Amsterdam),1950,16,501,,,,,,,,
274.999729927,3580,281,Liquid-Gas,Experimental,NIST,Authors: Rabe, D. Title: Experimental determination of dynamic viscosity and density of binary liquid mixtures of n-heptane with CO2, CH4, C2H6, C3H8 and of toluene with CH4 and C3H8 Citation: Dr.Eng. Thesis, Technical University Berlin, Berlin (1981),,,,,,,,
275,3659,183,Liquid-Gas,Experimental,NIST,Authors: Duschek, W.;Kleinrahm, R.;Wagner, W. Title: Measurement and correlation of the (pressure, density, temperature) relation of carbon dioxide. II. Saturated-liquid and saturated-vapo densities and the vapor pressure along the entire coexistence c Citation: J. Chem. Thermodyn.,1990,22, 841-64,,,,,,
277.47,3920,49,Liquid-Gas,Experimental,NIST,Authors: Jonasson, A.;Persson, O.;Fredenslund, A. Title: High Pressure Solubility of Carbon Dioxide and Carbon Monoxide in Dimethyl Ether Citation: J. Chem. Eng. Data,1995,40, 296-300,,,,,,,,
277.593751182,3895.54,62.05,Liquid-Gas,Experimental,NIST,Authors: Besserer, G. J.;Robinson, D. B. Title: Equilibrium-phase properties of isopentane - carbon dioxide system Citation: J. Chem. Eng. Data,1975,20, 93-96,,,,,,,,,
278.94652,4053,0,Liquid-Gas,Experimental,NIST,Authors: Haselden, G. G.;Newitt, D. M.;Shah, S. M. Title: Two-phase Equilibrium in Binary and Ternary Systems. V. Carbon Dioxide -Ethylene Citation: Proc. R. Soc. London, Ser. A,1951,209,1,,,,,,,
279.902057333,4136.85,413.69,Liquid-Gas,Experimental,NIST,Authors: Kendall, B. J.;Sage, B. H. Title: The volumetric behavior of carbon dioxide Citation: Petroleum (London),1951,14, 184-6,,,,,,,,,
279.953006715,4156.1,0,Liquid-Gas,Experimental,NIST,Authors: Esper, G. J. Title: Direct and Indirect p-v-t Measurement of Fluids Citation: Fortschr.-Ber. VDI Z., Reihe,1987, No. 148,,,,,,,,,,
280,4161,208,Liquid-Gas,Experimental,NIST,Authors: Duschek, W.;Kleinrahm, R.;Wagner, W. Title: Measurement and correlation of the (pressure, density, temperature) relation of carbon dioxide. II. Saturated-liquid and saturated-vapo densities and the vapor pressure along the entire coexistence c Citation: J. Chem. Thermodyn.,1990,22, 841-64,,,,,,
280,4161,208,Liquid-Gas,Experimental,NIST,Authors: Duschek, W.;Kleinrahm, R.;Wagner, W. Title: Measurement and correlation of the (pressure, density, temperature) relation of carbon dioxide. II. Saturated-liquid and saturated-vapo densities and the vapor pressure along the entire coexistence c Citation: J. Chem. Thermodyn.,1990,22, 841-64,,,,,,
280,4161,208,Liquid-Gas,Experimental,NIST,Authors: Duschek, W.;Kleinrahm, R.;Wagner, W. Title: Measurement and correlation of the (pressure, density, temperature) relation of carbon dioxide. II. Saturated-liquid and saturated-vapo densities and the vapor pressure along the entire coexistence c Citation: J. Chem. Thermodyn.,1990,22, 841-64,,,,,,
283.027403,4481.59,448.16,Liquid-Gas,Experimental,NIST,Authors: Kendall, B. J.;Sage, B. H. Title: The volumetric behavior of carbon dioxide Citation: Petroleum (London),1951,14, 184-6,,,,,,,,,
283.09807,4498,0,Liquid-Gas,Experimental,NIST,Authors: Vukalovich, M. P.;Timoshenko, N. I.;Kobelev, V. P. Title: Experimental study of carbon dioxide density at temperatures below 0 c Citation: Teploenergetika,1970,17, 59-60,,,,,,,,
283.148055,4499.8,1.6,Liquid-Gas,Experimental,NIST,Authors: Ohgaki, K.;Katayama, T. Title: Isothermal vapor-liquid equilibrium data for the ethane-carbon dioxide system at high pressures Citation: Fluid Phase Equilib.,1977,1, 27-32,,,,,,,,,
283.15,4497.8,111.7,Liquid-Gas,Experimental,NIST,Authors: Kim, J. H.;Kim, M. S. Title: Vapor liquid equilibria for the carbon dioxide + propane system over a temperature range from 253.15 to 323.15K Citation: Fluid Phase Equilib.,2005,238, 13-19,,,,,,,,,
283.647684823,4560,0,Liquid-Gas,Experimental,NIST,Authors: Bierlein, J. A.;Kay, W. B. Title: Phase Equilibrium Properties of System Carbon Dioxide-Hydrogen Sulfide sulfide Citation: Ind. Eng. Chem.,1953,45,618,,,,,,,,,
285.42043332,4764.28,475.74,Liquid-Gas,Experimental,NIST,Authors: Kendall, B. J.;Sage, B. H. Title: The volumetric behavior of carbon dioxide Citation: Petroleum (London),1951,14, 184-6,,,,,,,,,
287.58573336,5038.689,506.075,Liquid-Gas,Experimental,NIST,Authors: Kendall, B. J.;Sage, B. H. Title: The volumetric behavior of carbon dioxide Citation: Petroleum (London),1951,14, 184-6,,,,,,,,,
288.141,5086.115,511.15956,Liquid-Gas,Experimental,NIST,Authors: Meyers, C.H.;Van Dusen, M.S. Title: The Vapor Pressure of Liquid and Solid Carbon Dioxide, Citation: Refrig. Eng.,1932,13,180,1926, Bureau of Standards Journal of Research, Volume 10, pp. 381-412,,,,
288.15,5080,10,Liquid-Gas,Experimental,NIST,Authors: Kim, S. A.;Lim, J. S.;Kang, j. W. Title: Isothermal Vapor-Liquid Equilibria for the Binary System of Carbon Dioxide (CO2) + 1,1,1,2,3,3,3-Heptafluoropropane (R-227ea) Citation: J. Chem. Eng. Data,2010,55, 4999-5003,,
288.2,5080,51,Liquid-Gas,Experimental,NIST,Authors: Matvienko, V. G.;Yarym-Agaev, N. L. Citation: Zh. Prikl. Khim. (S.-Peterburg),1999,72,1085,,,,,,,,,
288.5,5120,43,Liquid-Gas,Experimental,NIST,Authors: Xu, N.;Dong, J.;Wang, Y.;Shi, J. Title: High pressure vapor liquid equilibria at 293 K for systems containing nitrogen, methane and carbon dioxide Citation: Fluid Phase Equilib.,1992,81, 175-186,,,,,,
289.146255,5217.31,0,Liquid-Gas,Experimental,NIST,Authors: Levelt Sengers, J. M. H.;Chen, W. T. Title: Vapor Pressure, Critical Isochore, and Some Metastable States of CO2 dioxide Citation: J. Chem. Phys.,1972,56, 595-608,,,,,,,
289.146255,5217.36,0,Liquid-Gas,Experimental,NIST,Authors: Levelt Sengers, J. M. H.;Chen, W. T. Title: Vapor Pressure, Critical Isochore, and Some Metastable States of CO2 dioxide Citation: J. Chem. Phys.,1972,56, 595-608,,,,,,,
289.676096,5284.1,0,Liquid-Gas,Experimental,NIST,Authors: Levelt Sengers, J. M. H.;Chen, W. T. Title: Vapor Pressure, Critical Isochore, and Some Metastable States of CO2 dioxide Citation: J. Chem. Phys.,1972,56, 595-608,,,,,,,
289.951024333,5343.44,537.79,Liquid-Gas,Experimental,NIST,Authors: Kendall, B. J.;Sage, B. H. Title: The volumetric behavior of carbon dioxide Citation: Petroleum (London),1951,14, 184-6,,,,,,,,,
290,5317,266,Liquid-Gas,Experimental,NIST,Authors: Duschek, W.;Kleinrahm, R.;Wagner, W. Title: Measurement and correlation of the (pressure, density, temperature) relation of carbon dioxide. II. Saturated-liquid and saturated-vapo densities and the vapor pressure along the entire coexistence c Citation: J. Chem. Thermodyn.,1990,22, 841-64,,,,,,
292.466736,5688.17,572.26,Liquid-Gas,Experimental,NIST,Authors: Kendall, B. J.;Sage, B. H. Title: The volumetric behavior of carbon dioxide Citation: Petroleum (London),1951,14, 184-6,,,,,,,,,
293.0826,5720.9,10.14,Liquid-Gas,Experimental,NIST,Authors: Saleh, B.;Wendland, M. Title: Measurement of Vapor Pressures and Saturated Liquid Densities of Pure Fluids with a New Apparatus Citation: J. Chem. Eng. Data,2005,50, 429-437,,,,,,,,,
293.09538,5725.9,572.6,Liquid-Gas,Experimental,NIST,Authors: Ohgaki, K.;Katayama, T. Title: Isothermal vapor-liquid equilibrium data for the ethane-carbon dioxide system at high pressures Citation: Fluid Phase Equilib.,1977,1, 27-32,,,,,,,,,
293.125374,5730.9,0,Liquid-Gas,Experimental,NIST,Authors: Burfield, D. W.;Richardson, H. P.;Guereca, R. A. Title: Vapor-liquid equilibria and dielectric constants for the helium + carbon dioxide system Citation: AIChE J.,1970,16,97,,,,,,,,
293.15,5722,172,Liquid-Gas,Experimental,NIST,Authors: Kim, S. A.;Yoo, K.-P.;Lim, J. S. Title: High pressure isothermal vapor-liquid equilibria for the binary system of carbon dioxide (CO2)+1,1,1-trifluoroethane (R-143a) Citation: Korean J. Chem. Eng.,2010,27, 1887-1891,,,,,,
294.15138953,5867,52,Liquid-Gas,Experimental,NIST,Authors: Pereira, P. J.;Goncalves, M.;Coto, B.;Gomes de Azevedo, E.;Nunes da Ponte, M. Title: Phase equilibria of carbon dioxide + dL-a-tocopherol at temperatures from 2 92 K to 333 K and pressures up to 26 MPa Citation: Fluid Phase Equilib.,1993,91, 133-43,,,,,,
294.3,5863,24,Liquid-Gas,Experimental,NIST,Authors: Pereira, P. J.;Gomes de Azevedo, E. J. S.;Nunes da Ponte, M. Title: Phase equilibria for {2,3-epoxypropanlo (Glycidol) + carbon dioxide} from T=292 K to T=343 K at pressures up to 27 MPa Citation: J. Chem. Thermodyn.,1997,29, 197-209,,,,,,,
294.32,5880,73,Liquid-Gas,Experimental,NIST,Authors: Jonasson, A.;Persson, O.;Fredenslund, A. Title: High Pressure Solubility of Carbon Dioxide and Carbon Monoxide in Dimethyl Ether Citation: J. Chem. Eng. Data,1995,40, 296-300,,,,,,,,
294.920619667,6032.91,606.74,Liquid-Gas,Experimental,NIST,Authors: Kendall, B. J.;Sage, B. H. Title: The volumetric behavior of carbon dioxide Citation: Petroleum (London),1951,14, 184-6,,,,,,,,,
