Temperature ( K ),vapor pressure ( kPa ),Uncertainty,Phase,Quality,Source,Set Label,,,,,,,,,,,,,,
288.141,32.18,0.37007,Liquid-Gas,Experimental - Rejected,NIST,Authors: Tower, O. F.;Germann, A. F. O. Title: Vapor pressures of certain alcoholic solutions Citation: J. Am. Chem. Soc.,1914,36, 2449-56,,,,,,,,,
288.696488729,4.1643431,0.463597,Liquid-Gas,Experimental - Rejected,NIST,Authors: Wollaston, W. H. Title: New Experimental Researches on Som of the Leading Doctrines of the Caloric; Particularily on the Relation Between the Elasticity, Temperature and Latent Heat of Different Vapors; and on the Thermo- m Citation: Philos. Trans. R. Soc. London,1818,108,338,,,,,,,,,
290.33968,5.1422571,0.0312374,Liquid-Gas,Experimental - Rejected,NIST,Authors: Wroblewski, S. Citation: Oesterr. Akad. Wiss., Math.-Naturwiss. Kl., Sitzungsber.,1888,97,1362,,,,,,,,
290.53956,4.11432,0.04,Liquid-Gas,Experimental - Rejected,NIST,Authors: Kahlbaum, G. W. A. Title: Boiling temperature as a function of atmospheric pressure Citation: Ber. Dtsch. Chem. Ges.,1883,16, 2476-85,,,,,,,,,,
291.1392,5.466217,0.0533289,Liquid-Gas,Experimental - Rejected,NIST,Authors: Beckmann, E.;Liesche, O. Title: Ebullioscopic constants for solvent solutions at various pressures: I benzene, chloroform, and ethanol Citation: Z. Phys. Chem., Stoechiom. Verwandschaftsl.,1914,88,23,,,,,,
291.472522109,5.0446008,0.4741,Liquid-Gas,Experimental - Rejected,NIST,Authors: Wollaston, W. H. Title: New Experimental Researches on Som of the Leading Doctrines of the Caloric; Particularily on the Relation Between the Elasticity, Temperature and Latent Heat of Different Vapors; and on the Thermo- m Citation: Philos. Trans. R. Soc. London,1818,108,338,,,,,,,,,
291.83878,5.5062,0.05333,Liquid-Gas,Experimental - Rejected,NIST,Authors: Konovalov, D. Title: Vapor Pressure of Liquid Mixtures Citation: Ann. Phys. (Leipzig),1881,14, 34-47,,,,,,,,,,
292.93812,6.0288508,0.0347838,Liquid-Gas,Experimental - Rejected,NIST,Authors: Wroblewski, S. Citation: Oesterr. Akad. Wiss., Math.-Naturwiss. Kl., Sitzungsber.,1888,97,1362,,,,,,,,
293.138,5.8662,0.04,Liquid-Gas,Experimental,NIST,Authors: Richards, T. W.;Mathews, J. H. Title: The Relation Between Compressibility, Surface Tension, and Other Properties of Material Citation: J. Am. Chem. Soc.,1908,30, 8-13,,,,,,,
293.138,5.8128819,0.042397,Liquid-Gas,Experimental,NIST,Authors: Schmidt, G. C. Title: Vapor Pressures of Homologous Compounds homologous series of fatty alcohols Citation: Z. Phys. Chem., Stoechiom. Verwandschaftsl.,1891,8, 628-46,,,,,,,,,
293.138,5.9462,0.133056,Liquid-Gas,Experimental - Rejected,NIST,Authors: Isii, N. Title: The volatility of fuels containing ethyl alcohol. V. total and partial vapor pressure of mixtures of ethyl alcohol and methylcyclohexane Citation: Kogyo Kagaku Zasshi,1935,38, 659-61,,,,,,,,,,
293.138,5.9195,0.11999,Liquid-Gas,Experimental - Rejected,NIST,Authors: Louder, E. A.;Briggs, T. R.;Browne, A. W. Title: Vapor pressure curves for systems containing alcohol, ether, and water Citation: Ind. Eng. Chem.,1924,16, 932-935,,,,,,
293.138,5.94,0,Liquid-Gas,Experimental - Rejected,NIST,Authors: Nagai, Y.;Isii, N. Title: Studies of the Volatility of Fuels Containing Ethyl Alcohol II. Calculation of Starting Tempertures of an Engine when using Ethyl Alcohol-Ethyl Ether Mixtures as its Fuel Citation: Kogyo Kagaku Zasshi,1935,38, 86-91,,,,,,,,,
293.138,5.95,0,Liquid-Gas,Experimental - Rejected,NIST,Authors: Phibbs, M. K. Title: The properties of nitrile binary systems and their relation to polyacrylonitrile solubility Citation: J. Phys. Chem.,1955,59,346,,,,,,,,,,
293.138222111,5.927513,0.0533289,Liquid-Gas,Experimental - Rejected,NIST,Authors: Regnault, V. Citation: Jahresber. Fort. Chem.,1863,16,70,,,,,,,,,,
293.14537,5.466,0,Liquid-Gas,Experimental - Rejected,NIST,Authors: Rauh, W. Citation: Thesis, Technical University Leuna-Merseburg, GDR (1975),,,,,,,,,,,
293.15,5.862,0.023,Liquid-Gas,Experimental,NIST,Authors: Garriga, R.;Perez, P.;Gracia, M. Citation: Ber. Bunsen-Ges. Phys. Chem.,1997,101,1466,,,,,,,,
293.15,5.856,0.026,Liquid-Gas,Experimental,NIST,Authors: Martinez, S.;Garriga, R.;Perez, P.;Gracia, M. Title: Isothermal Vapor-Liquid Equilibrium of 1-Chlorobutane with Ethanol or 1-Hexanol at Ten Temperatures between 278.15 K and 323.15 K Citation: J. Chem. Eng. Data,2001,46, 535-540,,,,,,,
293.15,5.872,0.122,Liquid-Gas,Experimental,NIST,Authors: Zaoui-Djelloul-Daouadji, M.;Negadi, A.;Mokbel, I.;Negadi, L. Title: (Vapor-liquid) equilibria and excess Gibbs free energy functions of (ethanol + glycerol), or (water + glycerol) binary mixtures at several temperatures Citation: J. Chem. Thermodyn.,2014,69, 165-171,,,,,,
294.1376,5.50886,0.05333,Liquid-Gas,Experimental - Rejected,NIST,Authors: Kahlbaum, G. W. A. Title: Boiling temperature as a function of atmospheric pressure Citation: Ber. Dtsch. Chem. Ges.,1883,16, 2476-85,,,,,,,,,,
294.248877693,5.9587563,0.51744,Liquid-Gas,Experimental - Rejected,NIST,Authors: Wollaston, W. H. Title: New Experimental Researches on Som of the Leading Doctrines of the Caloric; Particularily on the Relation Between the Elasticity, Temperature and Latent Heat of Different Vapors; and on the Thermo- m Citation: Philos. Trans. R. Soc. London,1818,108,338,,,,,,,,,
294.93728,6.7621239,0.0377036,Liquid-Gas,Experimental - Rejected,NIST,Authors: Wroblewski, S. Citation: Oesterr. Akad. Wiss., Math.-Naturwiss. Kl., Sitzungsber.,1888,97,1362,,,,,,,,
296.23676,7.3140785,0.0399167,Liquid-Gas,Experimental - Rejected,NIST,Authors: Wroblewski, S. Citation: Oesterr. Akad. Wiss., Math.-Naturwiss. Kl., Sitzungsber.,1888,97,1362,,,,,,,,
296.6366,7.4993966,0.0406633,Liquid-Gas,Experimental - Rejected,NIST,Authors: Wroblewski, S. Citation: Oesterr. Akad. Wiss., Math.-Naturwiss. Kl., Sitzungsber.,1888,97,1362,,,,,,,,
297.53624,7.31404,0.07199,Liquid-Gas,Experimental - Rejected,NIST,Authors: Kahlbaum, G. W. A. Title: Boiling temperature as a function of atmospheric pressure Citation: Ber. Dtsch. Chem. Ges.,1883,16, 2476-85,,,,,,,,,,
297.93608,7.58069,0.07573,Liquid-Gas,Experimental - Rejected,NIST,Authors: Kahlbaum, G. W. A. Title: Boiling temperature as a function of atmospheric pressure Citation: Ber. Dtsch. Chem. Ges.,1883,16, 2476-85,,,,,,,,,,
298.02,8,0.1,Liquid-Gas,Experimental - Rejected,NIST,Authors: Fischer, K.;Wilken, M. Title: Experimental determination of oxygen and nitrogen solubility in organic solvents up to 10 MPa at temperatures between 298 K and 398 K Citation: J. Chem. Thermodyn.,2001,33, 1285-1308,,,,,,,,,
298.136,7.9593,0.11999,Liquid-Gas,Experimental - Rejected,NIST,Authors: Louder, E. A.;Briggs, T. R.;Browne, A. W. Title: Vapor pressure curves for systems containing alcohol, ether, and water Citation: Ind. Eng. Chem.,1924,16, 932-935,,,,,,
298.14437,7.79,0.02,Liquid-Gas,Experimental - Rejected,NIST,Authors: Kato, M. Title: Activity coefficients of pseudo-ternary mixtures containing acetylacetone, its tautomers and organic solvents Citation: Ind. Eng. Chem. Fundam.,1980,19, 253-9,,,,,,,,,
298.15,7.876,0.319,Liquid-Gas,Experimental,NIST,Authors: Verevkin, S. P.;Safarov, J.;Bich, E.;Hassel, E.;Heintz, A. Title: Thermodynamic properties of mixtures containing ionic liquids Vapor pressures and activity coefficients of n-alcohols and benzene in binary mixtures with 1-methyl-3-butyl-imidazolium bis(trifluoromethyl-sulfonyl) imide Citation: Fluid Phase Equilib.,2005,236, 222-228,,,,,,
298.43588,8.3300082,0.0439964,Liquid-Gas,Experimental - Rejected,NIST,Authors: Wroblewski, S. Citation: Oesterr. Akad. Wiss., Math.-Naturwiss. Kl., Sitzungsber.,1888,97,1362,,,,,,,,
299.33552,8.26063,0.08133,Liquid-Gas,Experimental - Rejected,NIST,Authors: Kahlbaum, G. W. A. Title: Boiling temperature as a function of atmospheric pressure Citation: Ber. Dtsch. Chem. Ges.,1883,16, 2476-85,,,,,,,,,,
299.802255453,8.294958,0.587538,Liquid-Gas,Experimental - Rejected,NIST,Authors: Wollaston, W. H. Title: New Experimental Researches on Som of the Leading Doctrines of the Caloric; Particularily on the Relation Between the Elasticity, Temperature and Latent Heat of Different Vapors; and on the Thermo- m Citation: Philos. Trans. R. Soc. London,1818,108,338,,,,,,,,,
