Temperature ( K ),vapor pressure ( kPa ),Uncertainty,Phase,Quality,Source,Set Label,,,,,,,,,,,
318.3,0.009812,0.000985,Liquid-Gas,Experimental,NIST,Authors: Kulikov, D.,Verevkin, S. P.,Heintz, A. Title: Enthalpies of vaporization of a series of aliphatic alcohols Experimental results and values predicted by the ERAS-model Citation: Fluid Phase Equilib.,2001,192, 187-207,,,
318.4,0.00973,0.00098,Liquid-Gas,Experimental,NIST,Authors: Kulikov, D.,Verevkin, S. P.,Heintz, A. Title: Enthalpies of vaporization of a series of aliphatic alcohols Experimental results and values predicted by the ERAS-model Citation: Fluid Phase Equilib.,2001,192, 187-207,,,
321.3,0.01335,0.00134,Liquid-Gas,Experimental,NIST,Authors: Kulikov, D.,Verevkin, S. P.,Heintz, A. Title: Enthalpies of vaporization of a series of aliphatic alcohols Experimental results and values predicted by the ERAS-model Citation: Fluid Phase Equilib.,2001,192, 187-207,,,
323.08,0.01476,0.00069,Liquid-Gas,Experimental,NIST,Authors: N'Guimbi, J.,Kasehgari, H.,Mokbel, I.,Jose, J. Title: Vapor pressure of primary alcohols at 0.3Pa to 1.5kPa Citation: Thermochim. Acta,1992,196, 367-77,
323.137055,0.027998,0.001467,Liquid-Gas,Experimental,NIST,Authors: Singh, J.,Benson, G. C. Title: Measurement of the vapor pressure of methanol-n-decanol and ethanol-n-decanol mixtures Citation: Can. J. Chem.,1968,46, 1249-1254,,,,,
323.137055,0.027998,0.000933,Liquid-Gas,Experimental,NIST,Authors: Singh, J.,Pflug, H. D.,Benson, G. C. Title: Excess thermodynamic properties of isopropanol-n-decanol mixtures Citation: Can. J. Chem.,1969,47, 543-6,,,
323.15,0.011,0.003,Liquid-Gas,Experimental,NIST,Authors: Garriga, R.,Martinez, S.,Perez, P.,Gracia, M. Title: Isothermal (vapour + liquid) equilibrium at several temperatures of (1-chlorobutane + 1-octanol, or 1-decanol) Citation: J. Chem. Thermodyn.,2004,36, 59-69
323.15,0.011,0.01,Liquid-Gas,Experimental,NIST,Authors: Garriga, R.,Martinez, S.,Perez, P.,Gracia, M. Title: Vapor Liquid Equilibrium between (278.15 and 323.15) K and Excess Functions at T ) 298.15 K for 1-Bromobutane with 1-Octanol or 1-Decanol Citation: J. Chem. Eng. Data,2004,49, 224-230,
324.4,0.01765,0.00177,Liquid-Gas,Experimental,NIST,Authors: Kulikov, D.,Verevkin, S. P.,Heintz, A. Title: Enthalpies of vaporization of a series of aliphatic alcohols Experimental results and values predicted by the ERAS-model Citation: Fluid Phase Equilib.,2001,192, 187-207,,,
327.3,0.02282,0.00229,Liquid-Gas,Experimental,NIST,Authors: Kulikov, D.,Verevkin, S. P.,Heintz, A. Title: Enthalpies of vaporization of a series of aliphatic alcohols Experimental results and values predicted by the ERAS-model Citation: Fluid Phase Equilib.,2001,192, 187-207,,,
