Temperature ( K ),vapor pressure ( kPa ),Uncertainty,Phase,Quality,Source,Set Label,,,,,,,,,,,,,,,,,,
155.734,0.52796,0.04133,Liquid-Gas,Experimental,NIST,Authors: Carruth, G. F.;Kobayashi, R. Title: Vapor pressure of normal paraffins ethane through n-decane from their triple points to about 10 mm Hg Citation: J. Chem. Eng. Data,1973,18, 115-26,,,,,,,,,,,,,
157,0.62248344,0.048291848,Liquid-Gas,Experimental,NIST,Authors: Perkins, R. A.;Ochoa, J. C. S.;Magee, J. W. Title: Thermodynamic Properties of Propane. II. Molar Heat Capacity at Constant Volume from (85 to 345) K with Pressures to 35 MPa Citation: J. Chem. Eng. Data,2009,54, 3192-3201,,,,,,,,,,,,
163.176,1.1999,0,Liquid-Gas,Experimental,NIST,Authors: Harteck, P.;Edse, R. Title: Vapor-pressure Measurement of Propane Citation: Z. Phys. Chem. Abt. A,1938,182,220,,,,,,,,,,,,,
163.926675,2,0,Liquid-Gas,Experimental - Rejected,NIST,Authors: Burrell, G. A.;Robertson, I. W. Title: Vapor Pressures of Various Compounds at Low Temperatures Citation: U. S. Bur. Mines, Tech. Pap.,1916,142, 30pp,,,,,,,,,,,,
164.0136,1.2359,0,Liquid-Gas,Experimental,NIST,Authors: Yarbrough, D. W.;Tsai, C. H. Title: Vapor pressures and heats of vaporization for propane and propene from 50 K to the normal boiling point. Citation: Adv. Cryog. Eng.,1978,23,602,,,,,,,,,,,,,
164.667341,1.3332,0,Liquid-Gas,Experimental,NIST,Authors: Ziegler, W. T. Title: The Vapor Pressures of Some Hydrocarbons in the Liquid and Solid State at Low Temperatures Citation: NBS Technical Note 4, 1-18 (1959),,,,,,,,,,,,,,,,
164.77744,1.3332,0.0266645,Liquid-Gas,Experimental,NIST,Authors: Tickner, A. W.;Lossing, F. P. Title: The Measurement of Low Vapor Pressures by Means of A Mass Spectrometer Citation: J. Phys. Colloid Chem.,1951,55, 733-40,,,,,,,,,,,,,
166.168691,1.161,0.104,Liquid-Gas,Experimental - Rejected,NIST,Authors: Kemp, J. D.;Egan, C. J. Title: Hindered Rotation of the Methyl Groups in Propane. The Heat Capacity, Vapor Pressure, Heats of Fusion and Vaporization of Propane. Entropy and Density of the Gas Citation: J. Am. Chem. Soc.,1938,60, 1521-5,,,,,,,,,,,
170.1823,2.27981,0,Liquid-Gas,Experimental,NIST,Authors: Harteck, P.;Edse, R. Title: Vapor-pressure Measurement of Propane Citation: Z. Phys. Chem. Abt. A,1938,182,220,,,,,,,,,,,,,
172.0517961,2.866431,0.065195,Liquid-Gas,Experimental - Rejected,NIST,Authors: Djordjevich, L.;Budenholzer, R. A. Title: Vapor-Liquid Equilibrium Data for Ethane-Propane System at Low Temperatures Citation: J. Chem. Eng. Data,1970,15,10,,,,,,,,,,,,,
172.68455,3.99966,0.1333,Liquid-Gas,Experimental - Rejected,NIST,Authors: Burrell, G. A.;Robertson, I. W. Title: The Vapor Pressures of Propane, Propylene and Normal Butane at Low Temperatures Citation: J. Am. Chem. Soc.,1915,37,2188,,,,,,,,,,,,
177.1874,4.11966,0,Liquid-Gas,Experimental,NIST,Authors: Harteck, P.;Edse, R. Title: Vapor-pressure Measurement of Propane Citation: Z. Phys. Chem. Abt. A,1938,182,220,,,,,,,,,,,,,
178,4.3307172,0.33574491,Liquid-Gas,Experimental,NIST,Authors: Perkins, R. A.;Ochoa, J. C. S.;Magee, J. W. Title: Thermodynamic Properties of Propane. II. Molar Heat Capacity at Constant Volume from (85 to 345) K with Pressures to 35 MPa Citation: J. Chem. Eng. Data,2009,54, 3192-3201,,,,,,,,,,,,
178.0122,4.1997,0,Liquid-Gas,Experimental,NIST,Authors: Yarbrough, D. W.;Tsai, C. H. Title: Vapor pressures and heats of vaporization for propane and propene from 50 K to the normal boiling point. Citation: Adv. Cryog. Eng.,1978,23,602,,,,,,,,,,,,,
179.8309852,3.739,0.111,Liquid-Gas,Experimental - Rejected,NIST,Authors: Kemp, J. D.;Egan, C. J. Title: Hindered Rotation of the Methyl Groups in Propane. The Heat Capacity, Vapor Pressure, Heats of Fusion and Vaporization of Propane. Entropy and Density of the Gas Citation: J. Am. Chem. Soc.,1938,60, 1521-5,,,,,,,,,,,
179.83899,6.666,0,Liquid-Gas,Experimental - Rejected,NIST,Authors: Burrell, G. A.;Robertson, I. W. Title: Vapor Pressures of Various Compounds at Low Temperatures Citation: U. S. Bur. Mines, Tech. Pap.,1916,142, 30pp,,,,,,,,,,,,
182.012,5.72886,0,Liquid-Gas,Experimental - Rejected,NIST,Authors: Yarbrough, D. W.;Tsai, C. H. Title: Vapor pressures and heats of vaporization for propane and propene from 50 K to the normal boiling point. Citation: Adv. Cryog. Eng.,1978,23,602,,,,,,,,,,,,,
184.1914,6.99942,0,Liquid-Gas,Experimental,NIST,Authors: Harteck, P.;Edse, R. Title: Vapor-pressure Measurement of Propane Citation: Z. Phys. Chem. Abt. A,1938,182,220,,,,,,,,,,,,,
185.012,10,7,Liquid-Gas,Experimental - Rejected,NIST,Authors: Rabe, D. Title: Experimental determination of dynamic viscosity and density of binary liquid mixtures of n-heptane with CO2, CH4, C2H6, C3H8 and of toluene with CH4 and C3H8 Citation: Dr.Eng. Thesis, Technical University Berlin, Berlin (1981),,,,,,,,,,,,
