Temperature ( K ),vapor pressure ( kPa ),Uncertainty,Phase,Quality,Source,Set Label,,,,,,,,,,,,,,,,,,
309.6314,1327.36,16.21,Liquid-Gas,Experimental - Rejected,NIST,Authors: Francis, A. W.;Robbins, G. W. Title: The Vapor Pressures of Propane and Propylene Citation: J. Am. Chem. Soc.,1933,55,4339,,,,,,,,,,,,,
309.977,1271,2.3,Liquid-Gas,Experimental,NIST,Authors: Outcalt, S.L.;Lee, B.-C. Title: A Small-Volume Apparatus for the Measurement of Phase Equilibria Citation: J. Res. Natl. Inst. Stand. Technol.,2004,109, 525-531,,,,,,,,,,,,,
309.998,1271.8,0.24,Liquid-Gas,Experimental,NIST,Authors: McLinden, M. O. Title: Thermodynamic Properties of Propane. I. p-?-T Behavior from (265 to 500) K with Pressures to 36 MPa Citation: J. Chem. Eng. Data,2009,54, 3181-3191,,,,,,,,,,,,,,
310,1272.35,0.24,Liquid-Gas,Experimental,NIST,Authors: McLinden, M. O. Title: Thermodynamic Properties of Propane. I. p-?-T Behavior from (265 to 500) K with Pressures to 36 MPa Citation: J. Chem. Eng. Data,2009,54, 3181-3191,,,,,,,,,,,,,,
310.89073,1300.4202,13.237934,Liquid-Gas,Experimental,NIST,Authors: Laurance, D. R.;Swift, G. W. Title: Relative Volatility of Propane-Propene System from 100-160 deg F Citation: J. Chem. Eng. Data,1972,17,333,,,,,,,,,,,,,
310.91852166,1313.451,20.6773771,Liquid-Gas,Experimental - Rejected,NIST,Authors: Miranda, R. D.;Robinson, D. B.;Kalra, H. Title: Equilibrium-Phase Properties of Propane-Carbonyl Sulfide System Citation: J. Chem. Eng. Data,1976,21, 62-5,,,,,,,,,,,,
312.1304,1388.15,16.21,Liquid-Gas,Experimental - Rejected,NIST,Authors: Francis, A. W.;Robbins, G. W. Title: The Vapor Pressures of Propane and Propylene Citation: J. Am. Chem. Soc.,1933,55,4339,,,,,,,,,,,,,
312.670120897,1356,4,Liquid-Gas,Experimental,NIST,Authors: Holcomb, C. D.;Magee, J. W.;Haynes, W. M. Title: Density Measurements on Natural Gas Liquids Citation: Research Report RR-147,1995, Gas Processors Association Project No. 916, Tulsa OK,,,,,,,,,,,,
312.99,1361,7,Liquid-Gas,Experimental,NIST,Authors: Subramoney, S. C.;Naidoo, P.;Valtz, A.;Coquelet, C.;Richon, D.;Ramjugernath, D. Title: Experimental (vapour + liquid) equilibrium data and modelling for binary mixtures of decafluorobutane with propane and 1-butene Citation: J. Chem. Thermodyn.,2013,67, 134-142,,,,,,,,,
313.09007,1378,11,Liquid-Gas,Experimental - Rejected,NIST,Authors: Galivel-Solastiouk, F.;Laugier, S.;Richon, D. Title: Vapor-liquid equilibrium data for the propane-methanol and propane-methanol-carbon dioxide system Citation: Fluid Phase Equilib.,1986,28,73,,,,,,,,,,,,
313.140055,1351.068,76.1964,Liquid-Gas,Experimental,NIST,Authors: Eng, W. W. Y. Citation: M.Sc. Thesis, Brigham Young University, Provo, UT (1977),,,,,,,,,,,,,,
313.140055,1350.358,11.4497,Liquid-Gas,Experimental - Rejected,NIST,Authors: Eng, W. W. Y. Citation: M.Sc. Thesis, Brigham Young University, Provo, UT (1977),,,,,,,,,,,,,,
313.140055,1334.856,11.24708,Liquid-Gas,Experimental - Rejected,NIST,Authors: Eng, W. W. Y. Citation: M.Sc. Thesis, Brigham Young University, Provo, UT (1977),,,,,,,,,,,,,,
313.15,1369.8,34.1,Liquid-Gas,Experimental,NIST,Authors: Kim, J. H.;Kim, M. S. Title: Vapor liquid equilibria for the carbon dioxide + propane system over a temperature range from 253.15 to 323.15K Citation: Fluid Phase Equilib.,2005,238, 13-19,,,,,,,,,,,,,
313.15,1366,17,Liquid-Gas,Experimental,NIST,Authors: Lim, J. S.;Seong, G.;Roh, H.-K. Title: Vapor-Liquid Equilibria for Propane (R-290) + 1,1,1,2,3,3,3-Heptafluoropropane (HFC-227ea) at Various Temperatures Citation: J. Chem. Eng. Data,2007,52, 2250-2256,,,,,,
313.15,1366,21,Liquid-Gas,Experimental,NIST,Authors: Seong, G.;Kim, A. R.;Yoo, K.-P.;Lim, J. S. Title: Measurement of VLE data for propane+1,1-difluoroethane at various temperatures from 268.15 to 333.15K Citation: Korean J. Chem. Eng.,2009,26, 206-213,,,,,,,,,,
313.15,1366,17,Liquid-Gas,Experimental,NIST,Authors: Seong, G.;Yoo, K.-P.;Lim, J. S. Title: Vapor-Liquid Equilibria for Propane (R290) + n-Butane (R600) at Various Temperatures Citation: J. Chem. Eng. Data,2008,53, 2783-2786,,,,,,,,,,,,
313.72982,1448.95,17.23,Liquid-Gas,Experimental - Rejected,NIST,Authors: Francis, A. W.;Robbins, G. W. Title: The Vapor Pressures of Propane and Propylene Citation: J. Am. Chem. Soc.,1933,55,4339,,,,,,,,,,,,,
314,1396.09,0.27,Liquid-Gas,Experimental,NIST,Authors: McLinden, M. O. Title: Thermodynamic Properties of Propane. I. p-?-T Behavior from (265 to 500) K with Pressures to 36 MPa Citation: J. Chem. Eng. Data,2009,54, 3181-3191,,,,,,,,,,,,,,
315,1428.32,0.27,Liquid-Gas,Experimental,NIST,Authors: McLinden, M. O. Title: Thermodynamic Properties of Propane. I. p-?-T Behavior from (265 to 500) K with Pressures to 36 MPa Citation: J. Chem. Eng. Data,2009,54, 3181-3191,,,,,,,,,,,,,,
315.1294,1519.88,17.23,Liquid-Gas,Experimental - Rejected,NIST,Authors: Francis, A. W.;Robbins, G. W. Title: The Vapor Pressures of Propane and Propylene Citation: J. Am. Chem. Soc.,1933,55,4339,,,,,,,,,,,,,
316.52898,1540.14,18.24,Liquid-Gas,Experimental - Rejected,NIST,Authors: Francis, A. W.;Robbins, G. W. Title: The Vapor Pressures of Propane and Propylene Citation: J. Am. Chem. Soc.,1933,55,4339,,,,,,,,,,,,,
316.68453332,1476.86,0,Liquid-Gas,Experimental - Rejected,NIST,Authors: Zanolini, D. A. Title: Measurement of vapor pressures of volatile hydrocarbons Citation: M.Sc. Thesis, Pennsylvania State University, University Park, PA (1964),,,,,,,,,,,,,,
317.1318571,1499.3,2.4,Liquid-Gas,Experimental,NIST,Authors: Kratzke, H. Title: Thermodynamic quantities for propane. 1. The vapour pressure of liquid propane Citation: J. Chem. Thermodyn.,1980,12, 305-309,,,,,,,,,,,,,,
317.62865,1600.94,17.23,Liquid-Gas,Experimental - Rejected,NIST,Authors: Francis, A. W.;Robbins, G. W. Title: The Vapor Pressures of Propane and Propylene Citation: J. Am. Chem. Soc.,1933,55,4339,,,,,,,,,,,,,
318.128345286,1547.13,0,Liquid-Gas,Experimental - Rejected,NIST,Authors: Deschner, W. W.;Brown, G. G. Title: P-V-T Relations for Propane Citation: Ind. Eng. Chem.,1940,32, 836-840,,,,,,,,,,,,,
318.22,1537,3,Liquid-Gas,Experimental,NIST,Authors: Coquelet, C.;Chareton, A.;Valtz, A.;Baba-Ahmed, A.;Richon, D. Title: Vapor-Liquid Equilibrium Data for the Azeotropic Difluoromethane + Propane System at Temperatures from 294.83 to 343.26 K and Pressures up to 5.4 MPa Citation: J. Chem. Eng. Data,2003,48, 317-323,,,,,,,,,,
318.258303752,1547.435,0,Liquid-Gas,Experimental - Rejected,NIST,Authors: Deschner, W. W.;Brown, G. G. Title: P-V-T Relations for Propane Citation: Ind. Eng. Chem.,1940,32, 836-840,,,,,,,,,,,,,
318.32844,1621.2,18.24,Liquid-Gas,Experimental - Rejected,NIST,Authors: Francis, A. W.;Robbins, G. W. Title: The Vapor Pressures of Propane and Propylene Citation: J. Am. Chem. Soc.,1933,55,4339,,,,,,,,,,,,,
319.997,1598.43,0.27,Liquid-Gas,Experimental,NIST,Authors: McLinden, M. O. Title: Thermodynamic Properties of Propane. I. p-?-T Behavior from (265 to 500) K with Pressures to 36 MPa Citation: J. Chem. Eng. Data,2009,54, 3181-3191,,,,,,,,,,,,,,
320,1598.77,0.27,Liquid-Gas,Experimental,NIST,Authors: McLinden, M. O. Title: Thermodynamic Properties of Propane. I. p-?-T Behavior from (265 to 500) K with Pressures to 36 MPa Citation: J. Chem. Eng. Data,2009,54, 3181-3191,,,,,,,,,,,,,,
320.62775,1712.39,18.24,Liquid-Gas,Experimental - Rejected,NIST,Authors: Francis, A. W.;Robbins, G. W. Title: The Vapor Pressures of Propane and Propylene Citation: J. Am. Chem. Soc.,1933,55,4339,,,,,,,,,,,,,
323.137055,1718.5,123.7,Liquid-Gas,Experimental,NIST,Authors: Miksovsky, J.;Wichterle, I. Title: Vapour-Liquid Equilibria in the Ethane-Proane System at High Pressures Citation: Collect. Czech. Chem. Commun.,1975,40,365,,,,,,,,,,,,,
323.15,1708.2,0.6,Liquid-Gas,Experimental - Rejected,NIST,Authors: Giles, N. F.;Wilson, G. M. Title: Phase equilibira on seven binary mixtures Citation: J. Chem. Eng. Data,2000,45, 146-153,,,,,,,,,,,,,
323.342646177,1723.69,6.88786,Liquid-Gas,Experimental,NIST,Authors: Sage, B. H.;Schaafsma, J. G.;Lacey, W. N. Title: Phase Equilibria in Hydrocarbon Systems: Pressure-Volume-Temperature Relations and Thermal Properties of Propane. Citation: Ind. Eng. Chem.,1934,26, 1218-1224,,,,,,,,,,,,
323.466898,1702.26,9.33257,Liquid-Gas,Experimental - Rejected,NIST,Authors: Dana, L. I.;Jenkins, A. C.;Burdick, H. E.;Timm, R. C. Title: Thermodynamic Properties of Butane, Isobutane, and Propane Citation: Refrig. Eng.,1926,12,387,,,,,,,,,
324.62655,1874.51,19.25,Liquid-Gas,Experimental - Rejected,NIST,Authors: Francis, A. W.;Robbins, G. W. Title: The Vapor Pressures of Propane and Propylene Citation: J. Am. Chem. Soc.,1933,55,4339,,,,,,,,,,,,,
324.916101568,1879.78,0,Liquid-Gas,Experimental - Rejected,NIST,Authors: Deschner, W. W.;Brown, G. G. Title: P-V-T Relations for Propane Citation: Ind. Eng. Chem.,1940,32, 836-840,,,,,,,,,,,,,
324.916521,1782,5.6,Liquid-Gas,Experimental,NIST,Authors: Uchytil, P.;Wichterle, I. Title: Liquid-Vapor critical region of the most volatile component of a ternary System I. Vapour-liquid equilibria in the ethane-propane-n-butane system system. Citation: Fluid Phase Equilib.,1983,15, 209-17,,,,,,,,,,,,,
324.998,1782.59,0.27,Liquid-Gas,Experimental,NIST,Authors: McLinden, M. O. Title: Thermodynamic Properties of Propane. I. p-?-T Behavior from (265 to 500) K with Pressures to 36 MPa Citation: J. Chem. Eng. Data,2009,54, 3181-3191,,,,,,,,,,,,,,
326.114717646,1722.53,0,Liquid-Gas,Experimental - Rejected,NIST,Authors: Hainlen, A. Title: Propane and Ethane in the Liquid State. Citation: Justus Liebigs Ann. Chem.,1894,282, 229-45,,,,,,,,,,,,,,
327.495747,1878.82,0,Liquid-Gas,Experimental,NIST,Authors: Clark Title: Molecular Thermodynamics and Phase Equilibria in the Propane-Methyl Chloride System Citation: Ph.D. Thesis, University of Illinois, Urbana, IL (1973),,,,,,,,,,,,,,,
327.49584697,1892.61,0,Liquid-Gas,Experimental - Rejected,NIST,Authors: Clark Title: Molecular Thermodynamics and Phase Equilibria in the Propane-Methyl Chloride System Citation: Ph.D. Thesis, University of Illinois, Urbana, IL (1973),,,,,,,,,,,,,,,
328.135555,1925.2,149.1,Liquid-Gas,Experimental,NIST,Authors: Prasad, D. H. Title: R & D Notes: P-V-T Relations of Propane in the Range 373.15-423.15 K and 0.2-4.0 MPa Citation: AIChE J.,1982,28, 695-6,,,,,,,,,,,,,,
329.395177,1935.15,0,Liquid-Gas,Experimental - Rejected,NIST,Authors: Barber, J. R. Title: Intermolecular Forces in the Critical Azeotropic System Propane-perfluorobutane: Description of Forces in the Vapor Region via Second Virial Coeff. and the Liquid Region via Internal Pressure amd Inte Citation: Ph.D. Thesis, Ohio State University, Columbus, OH (1968),,,,,,,,,,,,,,
329.998,1982.26,0.27,Liquid-Gas,Experimental,NIST,Authors: McLinden, M. O. Title: Thermodynamic Properties of Propane. I. p-?-T Behavior from (265 to 500) K with Pressures to 36 MPa Citation: J. Chem. Eng. Data,2009,54, 3181-3191,,,,,,,,,,,,,,
330.001,1982.35,0.27,Liquid-Gas,Experimental,NIST,Authors: McLinden, M. O. Title: Thermodynamic Properties of Propane. I. p-?-T Behavior from (265 to 500) K with Pressures to 36 MPa Citation: J. Chem. Eng. Data,2009,54, 3181-3191,,,,,,,,,,,,,,
330.1249,2067.03,20.26,Liquid-Gas,Experimental - Rejected,NIST,Authors: Francis, A. W.;Robbins, G. W. Title: The Vapor Pressures of Propane and Propylene Citation: J. Am. Chem. Soc.,1933,55,4339,,,,,,,,,,,,,
330.335594495,2027.06,0,Liquid-Gas,Experimental - Rejected,NIST,Authors: Scheeline, H. W.;Gilliland, E. R. Title: Vapor-Liquid Equilibrium in the System Propane-Isobutylene Citation: Ind. Eng. Chem.,1939,31,1050,,,,,,,,,,,,,
330.574031842,2009.781,0,Liquid-Gas,Experimental,NIST,Authors: Deschner, W. W.;Brown, G. G. Title: P-V-T Relations for Propane Citation: Ind. Eng. Chem.,1940,32, 836-840,,,,,,,,,,,,,
331.1246,2137.96,20.26,Liquid-Gas,Experimental - Rejected,NIST,Authors: Francis, A. W.;Robbins, G. W. Title: The Vapor Pressures of Propane and Propylene Citation: J. Am. Chem. Soc.,1933,55,4339,,,,,,,,,,,,,
331.63467,2068.42,16.72,Liquid-Gas,Experimental - Rejected,NIST,Authors: Kay, W. B. Title: Vapor-Liquid Equilibrium Relationships of Binary Systems. Propane- n-Alkane Systems, n-Hexane and n-Heptane Citation: J. Chem. Eng. Data,1971,16, 137-40,,,,,,,,,,,,,
332.13457,2068.42,16.72,Liquid-Gas,Experimental,NIST,Authors: Kay, W. B. Title: Vapor-Liquid Equilibrium Relationships of Binary Systems. Propane- n-Alkane Systems, n-Hexane and n-Heptane Citation: J. Chem. Eng. Data,1971,16, 137-40,,,,,,,,,,,,,
333.001023958,2113,5,Liquid-Gas,Experimental,NIST,Authors: Llovell, F.;Florusse, L. J.;Peters, C. J.;Vega, L. F. Title: Vapor-Liquid and Critical Behavior of Binary Systems of Hydrogen Chloride and n-Alkanes: Experimental Data and Soft-SAFT Modeling Citation: J. Phys. Chem. B,2007,111, 10180-10188,,,,,,,,,,,
333.124,2137.4,0,Liquid-Gas,Experimental - Rejected,NIST,Authors: Schindler, D. L.;Swift, G. W.;Kurata, F. Title: More low temperature v-l design data Citation: Hydrocarbon Process.,1966,45, 205-10,,,,,,,,,,,,
333.13437,2116.35,1.64,Liquid-Gas,Experimental,NIST,Authors: Thomas, R. H. P.;Harrison, R. H. Title: Pressure-Volume-Temperature Relations of Propane Citation: J. Chem. Eng. Data,1982,27,01/11/26,,,,,,,,,,,,,
333.15,2115.4,0.9,Liquid-Gas,Experimental,NIST,Authors: Giles, N. F.;Wilson, G. M. Title: Phase equilibira on seven binary mixtures Citation: J. Chem. Eng. Data,2000,45, 146-153,,,,,,,,,,,,,
333.932884269,2159.641,0,Liquid-Gas,Experimental - Rejected,NIST,Authors: Deschner, W. W.;Brown, G. G. Title: P-V-T Relations for Propane Citation: Ind. Eng. Chem.,1940,32, 836-840,,,,,,,,,,,,,
334.124,2269.68,25.33,Liquid-Gas,Experimental - Rejected,NIST,Authors: Francis, A. W.;Robbins, G. W. Title: The Vapor Pressures of Propane and Propylene Citation: J. Am. Chem. Soc.,1933,55,4339,,,,,,,,,,,,,
334.766666648,2200.12,6.77,Liquid-Gas,Experimental - Rejected,NIST,Authors: Mousa, A. H. N. Title: The Physical properties of highly purified purified samnples of propane and n-hexane Citation: J. Chem. Thermodyn.,1977,9, 1063-5,,,,,,,,,,,,,,
335.001,2198.02,0.28,Liquid-Gas,Experimental,NIST,Authors: McLinden, M. O. Title: Thermodynamic Properties of Propane. I. p-?-T Behavior from (265 to 500) K with Pressures to 36 MPa Citation: J. Chem. Eng. Data,2009,54, 3181-3191,,,,,,,,,,,,,,
335.0129,2189.09,0,Liquid-Gas,Experimental - Rejected,NIST,Authors: Zanolini, D. A. Title: Measurement of vapor pressures of volatile hydrocarbons Citation: M.Sc. Thesis, Pennsylvania State University, University Park, PA (1964),,,,,,,,,,,,,,
336.639,2275.013,0,Liquid-Gas,Experimental,NIST,Authors: Perry, R. E.;Thodos, G. Title: Vapor Pressures of the Light Normal Saturated Hydrocarbons Citation: Ind. Eng. Chem.,1952,44, 1649-53,,,,,,,,,,,,,
337.4573,2306.3,0,Liquid-Gas,Experimental,NIST,Authors: Zanolini, D. A. Title: Measurement of vapor pressures of volatile hydrocarbons Citation: M.Sc. Thesis, Pennsylvania State University, University Park, PA (1964),,,,,,,,,,,,,,
338.6892588,2365.4533,23.993755,Liquid-Gas,Experimental,NIST,Authors: Laurance, D. R.;Swift, G. W. Title: Relative Volatility of Propane-Propene System from 100-160 deg F Citation: J. Chem. Eng. Data,1972,17,333,,,,,,,,,,,,,
339.998,2430.39,0.28,Liquid-Gas,Experimental,NIST,Authors: McLinden, M. O. Title: Thermodynamic Properties of Propane. I. p-?-T Behavior from (265 to 500) K with Pressures to 36 MPa Citation: J. Chem. Eng. Data,2009,54, 3181-3191,,,,,,,,,,,,,,
340,2431.45,3.78,Liquid-Gas,Experimental,NIST,Authors: Glos, S.;Kleinrahm, R.;Wagner, W. Title: Measurement of the (p,q,T) relation of propane, propylene, n-butane, and isobutane in the temperature range from (95 to 340) K at pressures up to 12 MPa using an accurate two-sinker densimeter Citation: J. Chem. Thermodyn.,2004,36, 1037-1059,,,,,,,
340.001,2430.71,0.28,Liquid-Gas,Experimental,NIST,Authors: McLinden, M. O. Title: Thermodynamic Properties of Propane. I. p-?-T Behavior from (265 to 500) K with Pressures to 36 MPa Citation: J. Chem. Eng. Data,2009,54, 3181-3191,,,,,,,,,,,,,,
340.062976,2439.9,6.1,Liquid-Gas,Experimental,NIST,Authors: Uchytil, P.;Wichterle, I. Title: Liquid-Vapor critical region of the most volatile component of a ternary System I. Vapour-liquid equilibria in the ethane-propane-n-butane system system. Citation: Fluid Phase Equilib.,1983,15, 209-17,,,,,,,,,,,,,
340.091590281,2253.47,0,Liquid-Gas,Experimental - Rejected,NIST,Authors: Deschner, W. W.;Brown, G. G. Title: P-V-T Relations for Propane Citation: Ind. Eng. Chem.,1940,32, 836-840,,,,,,,,,,,,,
340.091590281,2453.889,0,Liquid-Gas,Experimental - Rejected,NIST,Authors: Deschner, W. W.;Brown, G. G. Title: P-V-T Relations for Propane Citation: Ind. Eng. Chem.,1940,32, 836-840,,,,,,,,,,,,,
340.2749124,2443.25,0,Liquid-Gas,Experimental,NIST,Authors: Teichman, J. Title: Pressure-Volume-Temperature Measurement with Liquid Propane and Benzene Citation: Dissertation, Ruhr-Univerisitat, Bochum (1978),,,,,,,,,,,,,,,
340.498214085,2465.09,7.57,Liquid-Gas,Experimental - Rejected,NIST,Authors: Mousa, A. H. N. Title: The Physical properties of highly purified purified samnples of propane and n-hexane Citation: J. Chem. Thermodyn.,1977,9, 1063-5,,,,,,,,,,,,,,
343,2608,5,Liquid-Gas,Experimental - Rejected,NIST,Authors: Aalto, M.;Liukkonen, S. Title: Bubble Point Pressures and Densities for the Binary Systems of Propane with Triacontane, Hexatriacontane, Tetracontane, Pentacontane, and Squalane at 353-373 K and 4.00-7.00 MPa Citation: J. Chem. Eng. Data,1996,41, 79-83,,,,,,,,,
343.377161378,2585.53,13.7895,Liquid-Gas,Experimental - Rejected,NIST,Authors: Sage, B. H.;Schaafsma, J. G.;Lacey, W. N. Title: Phase Equilibria in Hydrocarbon Systems: Pressure-Volume-Temperature Relations and Thermal Properties of Propane. Citation: Ind. Eng. Chem.,1934,26, 1218-1224,,,,,,,,,,,,
344.00189397,2651.03,0,Liquid-Gas,Experimental - Rejected,NIST,Authors: Clark Title: Molecular Thermodynamics and Phase Equilibria in the Propane-Methyl Chloride System Citation: Ph.D. Thesis, University of Illinois, Urbana, IL (1973),,,,,,,,,,,,,,,
344.26,2641.4,12.1,Liquid-Gas,Experimental,NIST,Authors: Yucelen, B.;Kidnay, A. J. Title: Vapor-Liquid Equiliblria in the Nitrogen + Carbon Dioxide + Propane System from 240 to 330 K at Pressures to 15 MPa Citation: J. Chem. Eng. Data,1999,44, 926-931,,,,,,,,,,,,,
344.273885,2646.9,0,Liquid-Gas,Experimental,NIST,Authors: Reamer, H. H.;Sage, B. H. Title: Volumetric and phase behavior of propene-propane system Citation: Ind. Eng. Chem.,1951,43, 1628-1634,,,,,,,,,,,,,
344.609611305,2677.82,0,Liquid-Gas,Experimental - Rejected,NIST,Authors: Deschner, W. W.;Brown, G. G. Title: P-V-T Relations for Propane Citation: Ind. Eng. Chem.,1940,32, 836-840,,,,,,,,,,,,,
345,2681.72,0.28,Liquid-Gas,Experimental,NIST,Authors: McLinden, M. O. Title: Thermodynamic Properties of Propane. I. p-?-T Behavior from (265 to 500) K with Pressures to 36 MPa Citation: J. Chem. Eng. Data,2009,54, 3181-3191,,,,,,,,,,,,,,
345.271195965,2744.11,62.1218,Liquid-Gas,Experimental - Rejected,NIST,Authors: Gilliland, E. R.;Scheeline, H. W. Title: High Pressure Vapor-Liquid Equilibrium. For the Systems Propylene-Isobutane isobutane and propane + hydrogen sulfide Citation: Ind. Eng. Chem.,1940,32,48,,,,,,,,,,,,,
346.930915,2757.89,22.27,Liquid-Gas,Experimental - Rejected,NIST,Authors: Kay, W. B. Title: Vapor-Liquid Equilibrium Relationships of Binary Systems. Propane- n-Alkane Systems, n-Hexane and n-Heptane Citation: J. Chem. Eng. Data,1971,16, 137-40,,,,,,,,,,,,,
347.04887677,2790,4,Liquid-Gas,Experimental,NIST,Authors: Holcomb, C. D.;Magee, J. W.;Haynes, W. M. Title: Density Measurements on Natural Gas Liquids Citation: Research Report RR-147,1995, Gas Processors Association Project No. 916, Tulsa OK,,,,,,,,,,,,
348.1,2860,0,Liquid-Gas,Experimental - Rejected,NIST,Authors: Gros, H. P.;Zabaloy, M. S.;Brignole, E. A. Title: High-Pressure Vapor-Liquid Equilibria for Propane + 2-Butanol, Propylene + 2-Butanol, and Propane + 2-Butanol + 2-Propanol Citation: J. Chem. Eng. Data,1996,41, 335-338,,,,,,,,,,
348.176870018,2889.282,0,Liquid-Gas,Experimental - Rejected,NIST,Authors: Deschner, W. W.;Brown, G. G. Title: P-V-T Relations for Propane Citation: Ind. Eng. Chem.,1940,32, 836-840,,,,,,,,,,,,,
348.206842134,2870.94,0,Liquid-Gas,Experimental - Rejected,NIST,Authors: Deschner, W. W.;Brown, G. G. Title: P-V-T Relations for Propane Citation: Ind. Eng. Chem.,1940,32, 836-840,,,,,,,,,,,,,
348.550429,2852.84,0,Liquid-Gas,Experimental - Rejected,NIST,Authors: Barber, J. R. Title: Intermolecular Forces in the Critical Azeotropic System Propane-perfluorobutane: Description of Forces in the Vapor Region via Second Virial Coeff. and the Liquid Region via Internal Pressure amd Inte Citation: Ph.D. Thesis, Ohio State University, Columbus, OH (1968),,,,,,,,,,,,,,
349.884676162,2930.27,13.7895,Liquid-Gas,Experimental - Rejected,NIST,Authors: Sage, B. H.;Schaafsma, J. G.;Lacey, W. N. Title: Phase Equilibria in Hydrocarbon Systems: Pressure-Volume-Temperature Relations and Thermal Properties of Propane. Citation: Ind. Eng. Chem.,1934,26, 1218-1224,,,,,,,,,,,,
350,2951.53,0.28,Liquid-Gas,Experimental,NIST,Authors: McLinden, M. O. Title: Thermodynamic Properties of Propane. I. p-?-T Behavior from (265 to 500) K with Pressures to 36 MPa Citation: J. Chem. Eng. Data,2009,54, 3181-3191,,,,,,,,,,,,,,
350,2963,0,Liquid-Gas,Experimental - Rejected,NIST,Authors: Horizoe, H.;Tanimoto, T.;Yamamoto, I.;Kano, Y. Citation: J. Chem. Eng. Jpn.,1993,26,482,,,,,,,,,,,
351.60298139,3068.324,0,Liquid-Gas,Experimental - Rejected,NIST,Authors: Deschner, W. W.;Brown, G. G. Title: P-V-T Relations for Propane Citation: Ind. Eng. Chem.,1940,32, 836-840,,,,,,,,,,,,,
353,3170,6,Liquid-Gas,Experimental - Rejected,NIST,Authors: Aalto, M.;Liukkonen, S. Title: Bubble Point Pressures and Densities for the Binary Systems of Propane with Triacontane, Hexatriacontane, Tetracontane, Pentacontane, and Squalane at 353-373 K and 4.00-7.00 MPa Citation: J. Chem. Eng. Data,1996,41, 79-83,,,,,,,,,
353.123,3102.6,0,Liquid-Gas,Experimental - Rejected,NIST,Authors: Schindler, D. L.;Swift, G. W.;Kurata, F. Title: More low temperature v-l design data Citation: Hydrocarbon Process.,1966,45, 205-10,,,,,,,,,,,,
353.140252804,3139.05,14.1855,Liquid-Gas,Experimental,NIST,Authors: Clegg, H. P.;Rowlinson, J. S. Title: Physical Properties of Some Fluorine Compounds and Their Solutions II. Part 2. The System Sulfur Hexafluoride + Propane Citation: Trans. Faraday Soc.,1955,51, 1333-40,,,,,,,,,,,,,
353.4019731,3145.1,5,Liquid-Gas,Experimental,NIST,Authors: Kratzke, H. Title: Thermodynamic quantities for propane. 1. The vapour pressure of liquid propane Citation: J. Chem. Thermodyn.,1980,12, 305-309,,,,,,,,,,,,,,
353.41,3134,5,Liquid-Gas,Experimental,NIST,Authors: Coquelet, C.;Chareton, A.;Valtz, A.;Baba-Ahmed, A.;Richon, D. Title: Vapor-Liquid Equilibrium Data for the Azeotropic Difluoromethane + Propane System at Temperatures from 294.83 to 343.26 K and Pressures up to 5.4 MPa Citation: J. Chem. Eng. Data,2003,48, 317-323,,,,,,,,,,
354.999,3241.63,0.29,Liquid-Gas,Experimental,NIST,Authors: McLinden, M. O. Title: Thermodynamic Properties of Propane. I. p-?-T Behavior from (265 to 500) K with Pressures to 36 MPa Citation: J. Chem. Eng. Data,2009,54, 3181-3191,,,,,,,,,,,,,,
355.002,3241.89,0.29,Liquid-Gas,Experimental,NIST,Authors: McLinden, M. O. Title: Thermodynamic Properties of Propane. I. p-?-T Behavior from (265 to 500) K with Pressures to 36 MPa Citation: J. Chem. Eng. Data,2009,54, 3181-3191,,,,,,,,,,,,,,
357.187837,3353.61,0,Liquid-Gas,Experimental - Rejected,NIST,Authors: Barber, J. R. Title: Intermolecular Forces in the Critical Azeotropic System Propane-perfluorobutane: Description of Forces in the Vapor Region via Second Virial Coeff. and the Liquid Region via Internal Pressure amd Inte Citation: Ph.D. Thesis, Ohio State University, Columbus, OH (1968),,,,,,,,,,,,,,
357.18793697,3359.33,0,Liquid-Gas,Experimental,NIST,Authors: Barber, J. R. Title: Intermolecular Forces in the Critical Azeotropic System Propane-perfluorobutane: Description of Forces in the Vapor Region via Second Virial Coeff. and the Liquid Region via Internal Pressure amd Inte Citation: Ph.D. Thesis, Ohio State University, Columbus, OH (1968),,,,,,,,,,,,,,
357.223867291,3406.01,0,Liquid-Gas,Experimental - Rejected,NIST,Authors: Scheeline, H. W.;Gilliland, E. R. Title: Vapor-Liquid Equilibrium in the System Propane-Isobutylene Citation: Ind. Eng. Chem.,1939,31,1050,,,,,,,,,,,,,
357.927615,3447.36,27.83,Liquid-Gas,Experimental - Rejected,NIST,Authors: Kay, W. B. Title: Vapor-Liquid Equilibrium Relationships of Binary Systems. Propane- n-Alkane Systems, n-Hexane and n-Heptane Citation: J. Chem. Eng. Data,1971,16, 137-40,,,,,,,,,,,,,
357.960452257,3428.94,0,Liquid-Gas,Experimental,NIST,Authors: Deschner, W. W.;Brown, G. G. Title: P-V-T Relations for Propane Citation: Ind. Eng. Chem.,1940,32, 836-840,,,,,,,,,,,,,
358.037807104,3447.38,20.6843,Liquid-Gas,Experimental,NIST,Authors: Sage, B. H.;Schaafsma, J. G.;Lacey, W. N. Title: Phase Equilibria in Hydrocarbon Systems: Pressure-Volume-Temperature Relations and Thermal Properties of Propane. Citation: Ind. Eng. Chem.,1934,26, 1218-1224,,,,,,,,,,,,
